rank	score	disease_name	disease_identifier
1	0.9	SHORT STATURE, AMELOGENESIS IMPERFECTA, AND SKELETAL DYSPLASIA WITH SCLEROSING BONE DONESYRINGOMYELIA	OMIM:271550
2	0.85	COSTELLO SYNDROME	OMIM:218040
3	0.8	RUBINSTEIN-TAYBI SYNDROME	OMIM:180849
4	0.75	PROGEROID AND MARFANOID ASPECT-LIPODYSTROPHY SYNDROME	OMIM:614038
5	0.7	INTELLECTUAL DEVELOPMENTAL DISORDER WITH ABNORMAL STRIP INVERSION AND MYELODYSPLASIAS	OMIM:617802
6	0.65	SHORT ULNA-SHORT STATURE-INTELLECTUAL DISABILITY-FACIAL DYSMORPHISM SYNDROME	OMIM:617750
7	0.6	MICROPHTHALMIA WITH LIMB ANOMALIES	OMIM:206920
8	0.55	HYDROCEPHALUS, SKELETAL ANOMALIES, AND MENTAL DYSFUNCTION	OMIM:236500
9	0.5	SHORT STATURE, MICROCEPHALY, AND ENDOCRINE DYSFUNCTION	OMIM:616541
10	0.45	RAPADILINO SYNDROME	OMIM:266280
