rank	score	gene_symbol	gene_identifier
1	0.9	FGFR3	ENSG00000068078
2	0.8	COL2A1	ENSG00000139219
2	0.8	GDF5	ENSG00000125965
4	0.7	ACAN	ENSG00000157766
4	0.7	BMP2	ENSG00000125845
4	0.7	RUNX2	ENSG00000124813
4	0.7	SMAD6	ENSG00000137834
8	0.6	LTBP2	ENSG00000119681
8	0.6	PTPN11	ENSG00000179295
8	0.6	FGF10	ENSG00000070193
8	0.6	GLI3	ENSG00000106571
12	0.5	FOXC2	ENSG00000176692
12	0.5	SOX9	ENSG00000125398
12	0.5	TGFBR1	ENSG00000106799
12	0.5	GLI2	ENSG00000074047
16	0.4	TCF12	ENSG00000140262
16	0.4	RECQL4	ENSG00000160957
16	0.4	SLC26A2	ENSG00000155850
16	0.4	STRA6	ENSG00000137868
20	0.3	EXT1	ENSG00000182197
