rank	score	gene_symbol	gene_identifier
1	0.95	KMT2D	ENSG00000167548
2	0.92	FGFR3	ENSG00000068078
3	0.89	TSC1	ENSG00000165699
4	0.87	RPS19	ENSG00000105372
5	0.85	ATP6V1A	ENSG00000114573
6	0.82	TMEM38B	ENSG00000095209
7	0.8	ROR2	ENSG00000169071
8	0.78	SMAD3	ENSG00000166949
9	0.75	EP300	ENSG00000100393
10	0.73	RETN	ENSG00000104918
11	0.7	TGFBR1	ENSG00000106799
12	0.68	RET	ENSG00000165731
13	0.65	COL11A1	ENSG00000060718
14	0.62	OTUD6B	ENSG00000155100
15	0.6	BBS1	ENSG00000174483
16	0.58	FLNB	ENSG00000136068
