rank	score	gene_symbol	gene_identifier
1	0.95	TSC2	ENSG00000103197
2	0.92	TFAP2A	ENSG00000137203
3	0.88	FGFR3	ENSG00000068078
4	0.86	APTX	ENSG00000137074
5	0.84	SLC6A8	ENSG00000130821
6	0.82	MPL	ENSG00000117400
7	0.8	TMEM38B	ENSG00000095209
8	0.78	ERF	ENSG00000105722
9	0.76	RYR2	ENSG00000198626
10	0.74	EPG5	ENSG00000152223
11	0.72	MAF	ENSG00000178573
12	0.7	DHCR7	ENSG00000172893
13	0.68	RAI1	ENSG00000108557
14	0.66	DHCR24	ENSG00000116133
15	0.64	ADGRG1	ENSG00000205336
16	0.62	ATP13A2	ENSG00000159363
