rank	score	gene_symbol	gene_identifier
1	0.95	APTX	ENSG00000137074
2	0.91	ERF	ENSG00000105722
3	0.88	SLC6A8	ENSG00000130821
4	0.85	TSC1	ENSG00000165699
5	0.83	RYR2	ENSG00000198626
6	0.8	ATP13A2	ENSG00000159363
7	0.78	DHCR7	ENSG00000172893
8	0.76	MAF	ENSG00000178573
9	0.74	ADGRG1	ENSG00000205336
10	0.72	RAI1	ENSG00000108557
11	0.7	DHCR24	ENSG00000116133
12	0.68	FGFR3	ENSG00000068078
13	0.66	FBXO11	ENSG00000138081
14	0.64	EPG5	ENSG00000152223
15	0.62	RTTN	ENSG00000176225
16	0.6	CRX	ENSG00000105392
