rank	score	disease_name	disease_identifier
1	0.972	Pallister-Hall syndrome	OMIM:602925
2	0.956	Meckel syndrome, type 1	OMIM:249000
3	0.948	Hypoparathyroidism-retardation-dysmorphism syndrome	OMIM:241410
4	0.939	Wolcott-Rallison syndrome	OMIM:226980
5	0.932	Silver-Russell syndrome	OMIM:180860
6	0.926	Autism, susceptibility to, 6	OMIM:609378
7	0.924	Hypogonadotropic hypogonadism 22 with anosmia	OMIM:616030
8	0.923	Goiter, multinodular	OMIM:138800
9	0.918	Jacobsen syndrome	OMIM:147791
10	0.912	Rubinstein-Taybi syndrome	OMIM:180849
