rank	score	disease_name	disease_identifier
1	0.8	Seckel syndrome 3	OMIM:613254
2	0.7	Coffin-Lowry syndrome	OMIM:303600
2	0.7	Fanconi-Bickel syndrome	OMIM:227810
2	0.7	Meckel syndrome 1	OMIM:249000
2	0.7	Hydrocephalus due to congenital stenosis of aqueduct of Sylvius	OMIM:307000
6	0.6	FG syndrome	OMIM:305450
6	0.6	Beckwith-Wiedemann syndrome	OMIM:130650
6	0.6	Waardenburg syndrome, type 2A	OMIM:193510
9	0.5	Rubinstein-Taybi syndrome 1	OMIM:180849
9	0.5	Osteogenesis imperfecta, type II	OMIM:166210
9	0.5	Spondyloepiphyseal dysplasia, congenital	OMIM:183900
9	0.5	Mucoepithelial dysplasia, autosomal dominant	OMIM:158310
13	0.4	Congenital disorder of glycosylation, type IIa	OMIM:212066
13	0.4	Floating-Harbor syndrome	OMIM:136140
13	0.4	Glycogen storage disease XII	OMIM:611556
