rank	score	disease_name	disease_identifier
1	1.0	Holoprosencephaly 2	OMIM:157170
1	1.0	Holoprosencephaly 13	OMIM:610828
1	1.0	Holoprosencephaly 9	OMIM:610829
1	1.0	Holoprosencephaly 6	OMIM:605137
1	1.0	Holoprosencephaly 1	OMIM:236100
1	1.0	Holoprosencephaly 7	OMIM:610828
1	1.0	Holoprosencephaly 4	OMIM:142945
1	1.0	Holoprosencephaly 10	OMIM:610828
1	1.0	Holoprosencephaly 5	OMIM:609637
1	1.0	Holoprosencephaly 8	OMIM:610828
11	0.1	Holoprosencephaly 12	OMIM:617150
11	0.1	Holoprosencephaly 3	OMIM:142945
11	0.1	Holoprosencephaly 11	OMIM:611809
11	0.1	Holoprosencephaly 14	OMIM:611809
11	0.1	Holoprosencephaly 15	OMIM:142945
