rank	score	disease_name	disease_identifier
1	0.92	Multiple organ failure	OMIM:613254
2	0.89	Congenital metatarsus varus	OMIM:617560
3	0.88	Arachnodactyly	OMIM:613990
4	0.85	Distal limb muscle weakness	OMIM:144200
5	0.84	Lennox-Gastaut syndrome	OMIM:609284
6	0.82	Abnormality of chromosome segregation	OMIM:617516
7	0.81	Congenital chloride diarrhea	OMIM:600974
8	0.8	Cholestasis	OMIM:604187
9	0.79	Muscular dystrophy	OMIM:615193
10	0.78	X-linked intellectual disability	OMIM:261100
11	0.76	Heart block	OMIM:605282
12	0.75	Distal renal tubular acidosis	OMIM:613750
13	0.74	Hereditary lymphedema	OMIM:604841
14	0.73	Epiphora	OMIM:610759
15	0.71	Hypofibrinogenemia	OMIM:230740
