rank	score	disease_name	disease_identifier
1	1.0	Congenital fiber-type disproportion	OMIM:255310
1	1.0	Centronuclear myopathy	OMIM:160150
1	1.0	Rigid spine syndrome	OMIM:602771
1	1.0	Nemaline myopathy	OMIM:161800
1	1.0	Myopathy, X-linked, with excessive autophagy	OMIM:310400
1	1.0	Myopathy, distal, with anterior tibial onset	OMIM:606768
1	1.0	Myopathy, distal, with vocal cord weakness	OMIM:614399
1	1.0	Muscular dystrophy, congenital, with infantile cataract and hypogonadism	OMIM:616507
1	1.0	Muscular dystrophy, congenital, Davignon-Chauveau type	OMIM:617311
1	1.0	Hydroxyacyl-CoA dehydrogenase trifunctional protein deficiency	OMIM:609015
1	1.0	Emanuel syndrome	OMIM:609029
1	1.0	Craniofacial dysplasia-muscular dystrophy syndrome	OMIM:616816
1	1.0	Charcot-Marie-Tooth disease type 2E	OMIM:607684
1	1.0	Charcot-Marie-Tooth disease type 2H	OMIM:616155
1	1.0	Charcot-Marie-Tooth disease type 2P	OMIM:614436
