rank	score	disease_name	disease_identifier
1	1.0	Polymicrogyria	OMIM:609200
2	0.96	Microcephaly	OMIM:251200
3	0.91	Hypoplasia of the corpus callosum	OMIM:300004
4	0.86	Neurodevelopmental delay	OMIM:618956
4	0.86	Cerebellar vermis hypoplasia	OMIM:611367
6	0.82	Delayed speech and language development	OMIM:605041
7	0.8	Short stature	OMIM:318690
8	0.78	Emotional lability	OMIM:605022
8	0.78	Overlapping toe	OMIM:557065
10	0.71	Decreased body weight	OMIM:601980
11	0.69	OMIM:613849	OMIM:613849
12	0.68	OMIM:605282	OMIM:605282
12	0.68	OMIM:613750	OMIM:613750
14	0.67	OMIM:261100	OMIM:261100
15	0.66	OMIM:616974	OMIM:616974
16	0.65	OMIM:609192	OMIM:609192
