rank	score	disease_name	disease_identifier
1	0.9	Parkinson Disease, Late-Onset	OMIM:168600
2	0.8	Dementia, Lewy Body	OMIM:127750
3	0.7	Parkinson Disease, Autosomal Recessive Early Onset	OMIM:168600
4	0.6	Neurodegeneration with Brain Iron Accumulation 1	OMIM:234200
5	0.5	Corticobasal Degeneration	OMIM:610657
5	0.5	Multi-System Atrophy	OMIM:146500
7	0.4	Progressive Supranuclear Palsy	OMIM:601104
7	0.4	Juvenile Huntington Disease	OMIM:143100
9	0.3	Spinocerebellar Ataxia	OMIM:164400
10	0.2	Frontotemporal dementia and/or amyotrophic lateral sclerosis	OMIM:105550
