rank	score	gene_symbol	gene_identifier
1	0.9	ALG2	ENSG00000119523
2	0.85	NPHS1	ENSG00000161270
3	0.83	SYNE1	ENSG00000131018
4	0.73	ATP2A2	ENSG00000174437
5	0.7	SPTBN2	ENSG00000173898
6	0.68	ATXN3	ENSG00000066427
7	0.67	ASAH1	ENSG00000104763
8	0.65	OPA1	ENSG00000198836
9	0.63	ATXN2	ENSG00000204842
10	0.62	NR2F1	ENSG00000175745
11	0.6	PRRT2	ENSG00000167371
12	0.58	SCN2A	ENSG00000136531
13	0.55	POMGNT1	ENSG00000085998
14	0.52	KCNJ10	ENSG00000177807
15	0.51	EXOSC3	ENSG00000107371
16	0.5	SLC25A15	ENSG00000102743
