rank	score	disease_name	disease_identifier
1	0.95	Pelizaeus-Merzbacher disease	OMIM:312080
2	0.92	Congenital muscular dystrophy-dystroglycanopathy	OMIM:613154
3	0.88	Muscular dystrophy-dystroglycanopathy with brain and eye anomalies	OMIM:613830
4	0.85	Congenital disorder of glycosylation type 1a	OMIM:212065
5	0.84	Spastic paraplegia 49, autosomal recessive	OMIM:615031
6	0.83	Spastic paraplegia 3A	OMIM:182600
7	0.8	Charcot-Marie-Tooth disease type 2K	OMIM:614831
8	0.78	Hereditary spastic paraplegia 15	OMIM:270700
9	0.75	Pantothenate kinase-associated neurodegeneration	OMIM:234200
10	0.74	Leukodystrophy, hypomyelinating, 4	OMIM:612233
