rank	score	gene_symbol	gene_identifier
1	0.7819672131147541	EPG5	ENSG00000152223
2	0.7704918032786885	FBN2	ENSG00000138829
3	0.7540983606557377	RUNX1	ENSG00000159216
4	0.7508196721311475	KRAS	ENSG00000133703
5	0.7475409836065573	TSC1	ENSG00000165699
6	0.7431325301204819	RAI1	ENSG00000108557
7	0.7377049180327869	TMEM260	ENSG00000070269
8	0.7222222222222222	CAPN1	ENSG00000014216
8	0.7222222222222222	DYM	ENSG00000141627
10	0.71900826446281	TMC1	ENSG00000165091
11	0.6942675159235668	TFAP2A	ENSG00000137203
12	0.6788990825688073	SMAD3	ENSG00000166949
13	0.6721311475409836	TINF2	ENSG00000092330
13	0.6721311475409836	HERC2	ENSG00000128731
13	0.6721311475409836	FGFR3	ENSG00000068078
