rank	score	gene_symbol	gene_identifier
1	0.9	GJB2	ENSG00000165474
2	0.8	GJB6	ENSG00000121742
3	0.7	KRT16	ENSG00000186832
4	0.6	KRT17	ENSG00000128422
5	0.5	DSG1	ENSG00000134760
6	0.4	DSC2	ENSG00000134755
6	0.4	DSP	ENSG00000096696
8	0.3	JUP	ENSG00000173801
8	0.3	PKP1	ENSG00000081277
10	0.2	TRPV3	ENSG00000167723
10	0.2	ALOXE3	ENSG00000179148
12	0.1	ALOX12B	ENSG00000179477
12	0.1	ABCA12	ENSG00000144452
12	0.1	SLURP1	ENSG00000126233
12	0.1	WNT10A	ENSG00000135925
16	0.05	LOR	ENSG00000203782
16	0.05	FLG	ENSG00000143631
