rank	score	gene_symbol	gene_identifier
1	0.9	KMT2A	ENSG00000118058
2	0.85	EP300	ENSG00000100393
2	0.85	CREBBP	ENSG00000005339
4	0.8	PAX6	ENSG00000007372
4	0.8	CHD7	ENSG00000171316
6	0.75	TP63	ENSG00000073282
7	0.7	EFTUD2	ENSG00000108883
8	0.65	SOX11	ENSG00000176887
9	0.6	FOXP1	ENSG00000114861
10	0.55	ADNP	ENSG00000101126
11	0.5	TBR1	ENSG00000136535
12	0.45	MECP2	ENSG00000169057
13	0.4	TCF4	ENSG00000196628
14	0.35	PURA	ENSG00000185129
15	0.3	SYNGAP1	ENSG00000197283
16	0.25	FOXF1	ENSG00000103241
17	0.2	FOXC1	ENSG00000054598
