rank	score	gene_symbol	gene_identifier
1	0.95	MECP2	ENSG00000169057
2	0.9	SCN1A	ENSG00000144285
3	0.85	KCNQ2	ENSG00000075043
4	0.8	TSC1	ENSG00000165699
5	0.75	TSC2	ENSG00000103197
6	0.7	CDKL5	ENSG00000008086
7	0.65	PAK3	ENSG00000077264
8	0.6	FMR1	ENSG00000102081
9	0.55	ARX	ENSG00000004848
10	0.5	SLC2A1	ENSG00000117394
11	0.45	FOXG1	ENSG00000176165
12	0.4	STXBP1	ENSG00000136854
13	0.35	UBE3A	ENSG00000114062
14	0.3	GABRA1	ENSG00000022355
15	0.25	CNTNAP2	ENSG00000174469
16	0.2	PLP1	ENSG00000123560
17	0.15	SPTAN1	ENSG00000197694
18	0.1	DMD	ENSG00000198947
19	0.05	PTEN	ENSG00000171862
