rank	score	gene_symbol	gene_identifier
1	0.9	KAT6B	ENSG00000156650
2	0.8	PIGA	ENSG00000165195
2	0.8	TUBA1A	ENSG00000167552
4	0.7	CDK5RAP2	ENSG00000136861
4	0.7	ADNP	ENSG00000101126
4	0.7	TUBB2B	ENSG00000137285
4	0.7	TUBB3	ENSG00000258947
4	0.7	WDR62	ENSG00000075702
9	0.6	PAFAH1B1	ENSG00000007168
9	0.6	SRPX2	ENSG00000102359
9	0.6	CASK	ENSG00000147044
12	0.5	VLDLR	ENSG00000147852
12	0.5	PLA2G6	ENSG00000184381
12	0.5	ARX	ENSG00000004848
12	0.5	EOMES	ENSG00000163508
12	0.5	PCLO	ENSG00000186472
17	0.4	DYNC1H1	ENSG00000197102
17	0.4	GPR56	ENSG00000205336
17	0.4	NDE1	ENSG00000072864
20	0.3	LIS1	
20	0.3	COL18A1	ENSG00000182871
20	0.3	RELN	ENSG00000189056
20	0.3	FOXG1	ENSG00000176165
