rank	score	gene_symbol	gene_identifier
1	0.9	NKX2-5	ENSG00000183072
2	0.85	TBX1	ENSG00000184058
2	0.85	GATA4	ENSG00000136574
4	0.75	ZIC3	ENSG00000156925
4	0.75	JAG1	ENSG00000101384
6	0.7	CHD7	ENSG00000171316
7	0.65	CRELD1	ENSG00000163703
8	0.6	PAX3	ENSG00000135903
8	0.6	CITED2	ENSG00000164442
10	0.55	FBN1	ENSG00000166147
10	0.55	TGFBR1	ENSG00000106799
10	0.55	TGFBR2	ENSG00000163513
13	0.5	MYH6	ENSG00000197616
13	0.5	MYH7	ENSG00000092054
13	0.5	ACTC1	ENSG00000159251
16	0.45	GLI3	ENSG00000106571
17	0.4	FOXH1	ENSG00000160973
17	0.4	TBX5	ENSG00000089225
19	0.35	NOTCH1	ENSG00000148400
20	0.3	ELN	ENSG00000049540
