rank	score	gene_symbol	gene_identifier
1	0.9	GATA2	ENSG00000179348
2	0.85	FOXP1	ENSG00000114861
3	0.8	RUNX1	ENSG00000159216
4	0.75	ASXL1	ENSG00000171456
5	0.7	EZH2	ENSG00000106462
6	0.65	TET2	ENSG00000168769
7	0.6	SRSF2	ENSG00000161547
8	0.55	U2AF1	ENSG00000160201
9	0.5	ZRSR2	ENSG00000169249
10	0.45	STXBP1	ENSG00000136854
11	0.4	SCN1A	ENSG00000144285
12	0.35	ADAR	ENSG00000160710
13	0.3	ATR	ENSG00000175054
14	0.25	DNMT3A	ENSG00000119772
15	0.2	BCOR	ENSG00000183337
16	0.15	PHF6	ENSG00000156531
17	0.1	CBL	ENSG00000110395
