rank	score	disease_name	disease_identifier
1	0.9	Hereditary Elliptocytosis	OMIM:611804
2	0.85	Glucose-6-Phosphate Dehydrogenase Deficiency	OMIM:305900
3	0.8	Pyruvate Kinase Deficiency	OMIM:266200
4	0.75	Hereditary Spherocytosis	OMIM:182900
5	0.7	Autoimmune Hemolytic Anemia	OMIM:609135
6	0.65	Sickle Cell Anemia	OMIM:603903
7	0.6	Beta Thalassemia	OMIM:613985
8	0.55	Congenital Dyserythropoietic Anemia	OMIM:224120
9	0.5	Hereditary Persistence of Fetal Hemoglobin	OMIM:141749
10	0.45	Hereditary Hemochromatosis	OMIM:235200
