rank	score	disease_name	disease_identifier
1	0.95	Gaucher Disease Type 2	OMIM:230900
2	0.85	Gaucher Disease Type 1	OMIM:230800
3	0.75	Wiskott-Aldrich Syndrome	OMIM:301000
4	0.74	Sly Syndrome, Mucopolysaccharidosis Type VII	OMIM:253220
5	0.7	Pearson Marrow-Pancreas Syndrome	OMIM:557000
6	0.65	Niemann-Pick Disease, Type A	OMIM:257200
7	0.63	Niemann-Pick Disease, Type C1	OMIM:257220
8	0.6	Hermansky-Pudlak Syndrome	OMIM:203300
8	0.6	Chediak-Higashi Syndrome	OMIM:214500
10	0.55	Shwachman-Diamond Syndrome	OMIM:260400
