rank	score	disease_name	disease_identifier
1	0.95	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia	OMIM:167320
2	0.93	Limb-girdle muscular dystrophy	OMIM:253600
3	0.85	Paget disease of bone	OMIM:602080
4	0.82	Familial idiopathic steroid-resistant nephrotic syndrome with sensorineural deafness	OMIM:603278
5	0.8	Hyperphosphatasia with mental retardation syndrome	OMIM:239300
6	0.79	Distal myopathies	OMIM:160500
7	0.77	Albers-Schonberg disease	OMIM:166600
8	0.75	Facioscapulohumeral muscular dystrophy	OMIM:158900
9	0.73	Charcot-Marie-Tooth disease	OMIM:118220
10	0.71	Hypophosphatasia	OMIM:146300
