rank	score	disease_name	disease_identifier
1	0.95	Pyruvate dehydrogenase E3-binding protein deficiency	OMIM:608770
2	0.9	Leigh syndrome	OMIM:256000
3	0.85	Mitochondrial complex I deficiency	OMIM:252010
4	0.8	Alpers syndrome	OMIM:203700
5	0.75	Cardiomyopathy, dilated, 1a	OMIM:115200
6	0.7	Cytochrome c oxidase deficiency	OMIM:604377
7	0.65	Maple syrup urine disease	OMIM:248600
8	0.6	Barth syndrome	OMIM:302060
9	0.55	Propionic acidemia	OMIM:606054
10	0.5	Glycogen storage disease type II	OMIM:232300
