rank	score	disease_name	disease_identifier
1	0.9	Hereditary Spastic Paraplegia	OMIM:604187
2	0.88	Charcot-Marie-Tooth Disease	OMIM:118450
3	0.86	Amyotrophic Lateral Sclerosis 1	OMIM:105400
4	0.85	Multiple Sclerosis	OMIM:126200
5	0.83	Friedreich Ataxia	OMIM:229300
6	0.82	Primary Familial Brain Calcification	OMIM:213600
7	0.8	Congenital Insensitivity to Pain	OMIM:243000
8	0.75	Leukodystrophy, Hypomyelinating, 4	OMIM:612233
9	0.73	Cerebral Palsy, Spastic Quadriplegic, 1	OMIM:603513
10	0.7	Spinal Muscular Atrophy	OMIM:253300
