rank	score	gene_symbol	gene_identifier
1	0.9	KMT2A	ENSG00000118058
2	0.85	PAX6	ENSG00000007372
3	0.82	SOX9	ENSG00000125398
4	0.8	FGFR2	ENSG00000066468
4	0.8	TBX1	ENSG00000184058
6	0.77	TGFBR2	ENSG00000163513
7	0.75	COL2A1	ENSG00000139219
8	0.72	ALK	ENSG00000171094
9	0.7	GJA1	ENSG00000152661
10	0.68	PTEN	ENSG00000171862
11	0.65	FBN1	ENSG00000166147
12	0.63	ALK	ENSG00000171094
13	0.61	NOTCH2	ENSG00000134250
14	0.6	CREBBP	ENSG00000005339
15	0.58	NF1	ENSG00000196712
16	0.56	USH2A	ENSG00000042781
17	0.54	CHD7	ENSG00000171316
18	0.52	SMAD4	ENSG00000141646
19	0.5	EYA1	ENSG00000104313
