rank	score	disease_name	disease_identifier
1	0.9	Acrodysostosis 1, With Or Without Hormone Resistance	OMIM:101800
2	0.85	Noonan Syndrome 1	OMIM:163950
3	0.8	Cardiofaciocutaneous Syndrome 1	OMIM:115150
4	0.75	LEOPARD Syndrome 1	OMIM:151100
5	0.7	Shprintzen-Goldberg Syndrome	OMIM:182212
6	0.65	Cranioectodermal Dysplasia 1	OMIM:218330
7	0.6	Geleophysic Dysplasia 1	OMIM:231050
8	0.55	Metatropic Dysplasia	OMIM:250600
9	0.5	Short-rib Thoracic Dysplasia 3 With Or Without Polydactyly	OMIM:613091
10	0.45	Multiple Epiphyseal Dysplasia 1	OMIM:132400
11	0.4	Robinow Syndrome, Autosomal Recessive	OMIM:268310
12	0.35	Brachydactyly, Type B1	OMIM:113000
13	0.3	Cousin Syndrome	OMIM:260660
14	0.25	Fibrochondrogenesis 1	OMIM:228520
15	0.2	Kniest Dysplasia	OMIM:156550
