rank	score	disease_name	disease_identifier
1	0.8089	Myhre syndrome	OMIM:139210
2	0.747	Marshall-Smith syndrome	OMIM:602535
3	0.7165	TELO2-related intellectual disability-neurodevelopmental disorder	ORPHA:488642
4	0.7116	Branchial arch abnormalities, choanal atresia, athelia, hearing loss, and hypothyroidism syndrome	OMIM:620186
5	0.7085	KBG syndrome	ORPHA:2332
6	0.7039	Alpha-mannosidosis, infantile form	ORPHA:309282
7	0.6918	Neurodevelopmental disorder with hypotonia and dysmorphic facies	OMIM:619503
8	0.6871	Mucolipidosis II alpha/beta	OMIM:252500
9	0.6865	Branchioskeletogenital syndrome	ORPHA:1299
10	0.6831	Multiple synostoses syndrome 1	OMIM:186500
11	0.6824	Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome	ORPHA:397709
12	0.6814	Mannosidosis, alpha-, types I and II	OMIM:248500
13	0.6727	Osteopathia striata with cranial sclerosis	OMIM:300373
13	0.6727	Cardiofaciocutaneous syndrome	OMIM:115150
15	0.6715	Wiedemann-Rautenstrauch syndrome	ORPHA:3455
16	0.6712	Lateral meningocele syndrome	OMIM:130720
17	0.6702	Oculoskeletodental syndrome	ORPHA:557003
18	0.6701	Osteopathia striata-cranial sclerosis syndrome	ORPHA:2780
19	0.6683	Global developmental delay-alopecia-macrocephaly-facial dysmorphism-structural brain anomalies syndrome	ORPHA:544488
20	0.6672	Neurodevelopmental disorder with seizures, spasticity, and complete or partial agenesis of the corpus callosum	OMIM:620250
21	0.6657	Robinow syndrome, autosomal dominant 2	OMIM:616331
22	0.6641	Cockayne syndrome, type B	OMIM:133540
22	0.6641	Cockayne syndrome, type B	OMIM:133540
24	0.6634	Coffin-Lowry syndrome	OMIM:303600
25	0.6631	Cockayne syndrome, type A	OMIM:216400
26	0.6624	Kabuki syndrome	ORPHA:2322
26	0.6624	Kabuki syndrome	ORPHA:2322
28	0.6613	Intellectual disability-cardiac anomalies-short stature-joint laxity syndrome	ORPHA:508498
29	0.6607	Dyggve-Melchior-Clausen disease	OMIM:223800
30	0.6601	Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome	ORPHA:500150
31	0.6571	Smith-Magenis syndrome	ORPHA:819
31	0.6571	Smith-Magenis syndrome	ORPHA:819
31	0.6571	Smith-Magenis syndrome	ORPHA:819
31	0.6571	Smith-Magenis syndrome	ORPHA:819
35	0.657	Spondyloepimetaphyseal dysplasia, sponastrime type	OMIM:271510
36	0.6545	GM1 gangliosidosis type 1	ORPHA:79255
37	0.653	Mucopolysaccharidosis-like syndrome with congenital heart defects and hematopoietic disorders	ORPHA:505248
38	0.6506	Chilton-Okur-Chung neurodevelopmental syndrome	OMIM:619841
39	0.6498	Lenz-Majewski hyperostotic dwarfism	ORPHA:2658
40	0.6487	Otopalatodigital syndrome type 2	ORPHA:90652
41	0.6478	Cornelia de Lange syndrome	ORPHA:199
41	0.6478	Aspartylglucosaminuria	ORPHA:93
41	0.6478	Cornelia de Lange syndrome	ORPHA:199
41	0.6478	Cornelia de Lange syndrome	ORPHA:199
41	0.6478	Cornelia de Lange syndrome	ORPHA:199
41	0.6478	Cornelia de Lange syndrome	ORPHA:199
41	0.6478	Cornelia de Lange syndrome	ORPHA:199
48	0.647	Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy	OMIM:300232
49	0.6463	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	ORPHA:444077
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
50	0.6461	Trichothiodystrophy	ORPHA:33364
59	0.6458	Cornelia de Lange syndrome 1	OMIM:122470
60	0.6453	Paget disease of bone 2, early-onset	OMIM:602080
61	0.6448	Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 3	OMIM:619950
62	0.6446	Intellectual developmental disorder, X-linked syndromic, Snyder-Robinson type	OMIM:309583
63	0.644	Neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy	OMIM:617802
64	0.6439	Radio-Tartaglia syndrome	OMIM:619312
65	0.6407	Mucopolysaccharidosis VII	OMIM:253220
66	0.6394	Rubinstein-Taybi syndrome 1	OMIM:180849
67	0.6393	Pettigrew syndrome	OMIM:304340
68	0.6386	Achondroplasia	OMIM:100800
69	0.6381	KBG syndrome	OMIM:148050
70	0.638	Spondyloepiphyseal dysplasia with congenital joint dislocations	OMIM:143095
71	0.6364	Turnpenny-Fry syndrome	OMIM:618371
72	0.6362	Congenital disorder of glycosylation, type IIa	OMIM:212066
73	0.6356	Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development 1	OMIM:213980
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
74	0.6353	1p36 deletion syndrome	ORPHA:1606
87	0.6344	Phelan-McDermid syndrome	OMIM:606232
88	0.6342	Achondroplasia	ORPHA:15
89	0.6335	Cutis laxa, autosomal recessive, type IIE	OMIM:619451
90	0.6334	Pseudohypoparathyroidism type 1A	ORPHA:79443
90	0.6334	Cleidocranial dysplasia, forme fruste, with brachydactyly	OMIM:119600
92	0.6333	Hajdu-Cheney syndrome	OMIM:102500
93	0.6332	Osteopetrosis with renal tubular acidosis	ORPHA:2785
94	0.6324	Noonan syndrome 5	OMIM:611553
95	0.6323	Marshall syndrome	OMIM:154780
95	0.6323	Macrocephaly-intellectual disability-left ventricular non compaction syndrome	ORPHA:466791
97	0.6315	Cardiofaciocutaneous syndrome 4	OMIM:615280
98	0.6313	Otopalatodigital syndrome type 1	ORPHA:90650
99	0.6308	Acromesomelic dysplasia 1, Maroteaux type	OMIM:602875
100	0.6303	DEGCAGS syndrome	OMIM:619488
101	0.6302	Noonan syndrome 4	OMIM:610733
102	0.6295	Intellectual developmental disorder, autosomal recessive 61	OMIM:617773
103	0.6287	Intellectual developmental disorder, X-linked syndromic 34	OMIM:300967
104	0.6286	?Abnormal hair, joint laxity, and developmental delay	OMIM:261990
105	0.6284	Smith-Magenis syndrome	OMIM:182290
105	0.6284	SPONASTRIME dysplasia	ORPHA:93357
105	0.6284	Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies	OMIM:617452
108	0.6282	?Trichothiodystrophy 9, nonphotosensitive	OMIM:619692
109	0.6273	Spondyloepiphyseal dysplasia tarda	ORPHA:93284
110	0.6264	Sotos syndrome	OMIM:117550
111	0.6262	Schwartz-Jampel syndrome	ORPHA:800
112	0.626	Cornelia de Lange syndrome 3	OMIM:610759
112	0.626	Cerebrotendinous xanthomatosis	ORPHA:909
114	0.6259	Fucosidosis	OMIM:230000
115	0.6256	Coffin-Siris syndrome 1	OMIM:135900
116	0.6254	Developmental and epileptic encephalopathy 100	OMIM:619777
116	0.6254	17q23.1q23.2 microdeletion syndrome	ORPHA:261279
118	0.6251	Early-onset seizures-distal limb anomalies-facial dysmorphism-global developmental delay syndrome	ORPHA:505237
119	0.625	Neurodevelopmental disorder with neuromuscular and skeletal abnormalities	OMIM:619833
120	0.6249	Craniotubular dysplasia, Ikegawa type	OMIM:619727
121	0.6244	?RHYNS syndrome	OMIM:602152
122	0.6243	Rhizomelic skeletal dysplasia with or without Pelger-Huet anomaly	OMIM:618019
123	0.6235	Borjeson-Forssman-Lehmann syndrome	OMIM:301900
124	0.6232	Ogden syndrome	OMIM:300855
125	0.6229	Coffin-Siris syndrome 12	OMIM:619325
126	0.6216	Neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities, autosomal dominant	OMIM:619092
127	0.6212	Marshall syndrome	ORPHA:560
127	0.6212	Pontocerebellar hypoplasia, type 10	OMIM:615803
129	0.6207	Usmani-Riazuddin syndrome, autosomal dominant	OMIM:619467
130	0.6204	Mowat-Wilson syndrome due to a ZEB2 point mutation	ORPHA:261552
131	0.6203	Martsolf syndrome 1	OMIM:212720
131	0.6203	Acromesomelic dysplasia 4	OMIM:619636
131	0.6203	Intellectual developmental disorder, autosomal dominant 29	OMIM:616078
134	0.6202	Megalencephaly-severe kyphoscoliosis-overgrowth syndrome	ORPHA:457359
135	0.6201	8q24.3 microdeletion syndrome	ORPHA:508488
136	0.6195	Mucopolysaccharidosis type VI (Maroteaux-Lamy)	OMIM:253200
137	0.6193	Intellectual developmental disorder, autosomal dominant 1	OMIM:156200
138	0.6191	Noonan syndrome-like with loose anagen hair 1	OMIM:607721
139	0.6184	Khan-Khan-Katsanis syndrome	OMIM:618460
140	0.6181	Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome	ORPHA:2072
141	0.6177	Oculocerebrorenal syndrome of Lowe	ORPHA:534
142	0.6176	Trichohepatoneurodevelopmental syndrome	OMIM:618268
142	0.6176	Childhood-onset nemaline myopathy	ORPHA:171439
142	0.6176	Childhood-onset nemaline myopathy	ORPHA:171439
142	0.6176	Childhood-onset nemaline myopathy	ORPHA:171439
142	0.6176	Childhood-onset nemaline myopathy	ORPHA:171439
142	0.6176	Childhood-onset nemaline myopathy	ORPHA:171439
142	0.6176	Childhood-onset nemaline myopathy	ORPHA:171439
142	0.6176	Childhood-onset nemaline myopathy	ORPHA:171439
150	0.617	Opitz-Kaveggia syndrome	OMIM:305450
151	0.6168	Zimmermann-Laband syndrome 1	OMIM:135500
152	0.6165	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart	OMIM:616975
153	0.6162	Bachmann-Bupp syndrome	OMIM:619075
153	0.6162	Bainbridge-Ropers syndrome	OMIM:615485
153	0.6162	Bethlem myopathy	ORPHA:610
153	0.6162	Bethlem myopathy	ORPHA:610
153	0.6162	Bethlem myopathy	ORPHA:610
153	0.6162	Bethlem myopathy	ORPHA:610
159	0.6161	X-linked intellectual disability-global development delay-facial dysmorphism-sacral caudal remnant syndrome	ORPHA:480907
159	0.6161	Calvarial doughnut lesions with bone fragility with or without spondylometaphyseal dysplasia	OMIM:126550
161	0.616	Aspartylglucosaminuria	OMIM:208400
162	0.6159	Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skin abnormalities	OMIM:620191
163	0.6156	Nabais Sa-de Vries syndrome, type 1	OMIM:618828
164	0.6155	Spondylometaphyseal dysplasia, Kozlowski type	ORPHA:93314
165	0.615	Raine syndrome	OMIM:259775
166	0.6145	Charcot-Marie-Tooth disease, axonal, type 2Z	OMIM:616688
167	0.6141	Microphthalmia, syndromic 1	OMIM:309800
167	0.6141	Floating-Harbor syndrome	OMIM:136140
167	0.6141	King-Denborough syndrome	OMIM:619542
170	0.6136	Spondylo-ocular syndrome	ORPHA:85194
171	0.6131	Kabuki syndrome 2	OMIM:300867
171	0.6131	Cohen syndrome	ORPHA:193
173	0.613	Orofaciodigital syndrome type 3	ORPHA:2752
174	0.6127	Schimke immunoosseous dysplasia	OMIM:242900
174	0.6127	Leukocyte adhesion deficiency type II	ORPHA:99843
176	0.6125	Noonan syndrome 6	OMIM:613224
177	0.6123	Oculoskeletodental syndrome	OMIM:618440
