rank	score	disease_name	disease_identifier
1	0.8391	Hypothyroidism, congenital nongoitrous, 5	OMIM:225250
2	0.8377	Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia	OMIM:218700
3	0.8307	Bamforth-Lazarus syndrome	ORPHA:1226
4	0.8294	Bamforth-Lazarus syndrome	OMIM:241850
5	0.8269	Athyreosis	ORPHA:95713
5	0.8269	Athyreosis	ORPHA:95713
5	0.8269	Athyreosis	ORPHA:95713
5	0.8269	Athyreosis	ORPHA:95713
5	0.8269	Athyreosis	ORPHA:95713
5	0.8269	Athyreosis	ORPHA:95713
11	0.7921	Blepharophimosis-intellectual disability syndrome, SBBYS type	ORPHA:3047
12	0.7766	Hypothyroidism, congenital, nongoitrous 4	OMIM:275100
13	0.7663	Hypothyroidism due to TSH receptor mutations	ORPHA:90673
14	0.7572	Familial thyroid dyshormonogenesis	ORPHA:95716
14	0.7572	Familial thyroid dyshormonogenesis	ORPHA:95716
14	0.7572	Familial thyroid dyshormonogenesis	ORPHA:95716
14	0.7572	Familial thyroid dyshormonogenesis	ORPHA:95716
14	0.7572	Familial thyroid dyshormonogenesis	ORPHA:95716
14	0.7572	Familial thyroid dyshormonogenesis	ORPHA:95716
20	0.7507	Brain-lung-thyroid syndrome	ORPHA:209905
21	0.7452	Resistance to thyrotropin-releasing hormone syndrome	ORPHA:99832
22	0.7444	Isolated thyroid-stimulating hormone deficiency	ORPHA:90674
23	0.7394	Thyroid hormone metabolism, abnormal, 1	OMIM:609698
24	0.7322	Thyroid ectopia	ORPHA:95712
24	0.7322	Thyroid ectopia	ORPHA:95712
26	0.7313	Thyroid hormone resistance, autosomal recessive	OMIM:274300
27	0.7228	Diabetes mellitus, neonatal, with congenital hypothyroidism	OMIM:610199
28	0.7224	Hypothyroidism, congenital, nongoitrous, 1	OMIM:275200
29	0.717	Hyperthyroidism, nonautoimmune	OMIM:609152
30	0.7158	Thyroid dyshormonogenesis 2A	OMIM:274500
31	0.7108	Short stature-delayed bone age due to thyroid hormone metabolism deficiency	ORPHA:171706
32	0.7027	Choreoathetosis, hypothyroidism, and neonatal respiratory distress	OMIM:610978
33	0.7024	Allan-Herndon-Dudley syndrome	OMIM:300523
34	0.6978	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
34	0.6978	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
34	0.6978	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
34	0.6978	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
38	0.6969	Neuroocular syndrome	OMIM:619539
39	0.6948	Congenital disorder of glycosylation, type Ih	OMIM:608104
40	0.6889	Hypothyroidism, congenital, nongoitrous, 9	OMIM:301035
41	0.6872	Hyperthyroidism, familial gestational	OMIM:603373
42	0.6867	?[Dysalbuminemic hypertriiodothyroninemia]	OMIM:615999
