rank	score	disease_name	disease_identifier
1	0.8637	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1	OMIM:167320
2	0.7879	Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE)	OMIM:607459
3	0.7849	Muscular dystrophy, limb-girdle, autosomal dominant 4	OMIM:618129
4	0.7793	Congenital myopathy 7A, myosin storage, autosomal dominant	OMIM:608358
4	0.7793	Myasthenic syndrome, congenital, 14, with tubular aggregates	OMIM:616228
6	0.7779	Myasthenia, congenital, 12, with tubular aggregates	OMIM:610542
7	0.7761	?Inclusion body myopathy with early-onset Paget disease without frontotemporal dementia 3	OMIM:615424
8	0.7753	Oculopharyngodistal myopathy 1	OMIM:164310
9	0.7748	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 15	OMIM:612937
10	0.7746	Nemaline myopathy 2, autosomal recessive	OMIM:256030
11	0.7732	Muscular dystrophy, limb-girdle, autosomal recessive 8	OMIM:254110
12	0.7723	Congenital myopathy 10B, mild variant	OMIM:620249
13	0.7717	Hereditary hypophosphatemic rickets with hypercalciuria	ORPHA:157215
13	0.7717	Hereditary hypophosphatemic rickets with hypercalciuria	ORPHA:157215
15	0.7713	Progressive external ophthalmoplegia, autosomal recessive 1	OMIM:258450
15	0.7713	Hypocalcemic vitamin D-dependent rickets	ORPHA:289157
15	0.7713	Hypocalcemic vitamin D-dependent rickets	ORPHA:289157
18	0.7704	Autosomal recessive Emery-Dreifuss muscular dystrophy	ORPHA:98855
19	0.7684	Myopathy, distal, 6, adult onset	OMIM:618655
20	0.7683	Inclusion body myopathy and brain white matter abnormalities	OMIM:619733
21	0.7682	Laing distal myopathy	OMIM:160500
22	0.7679	Spinal muscular atrophy-4	OMIM:271150
23	0.767	Hereditary myopathy with early respiratory failure	ORPHA:178464
24	0.7669	Congenital myopathy 22A, classic	OMIM:620351
25	0.7668	Myopathy, distal, with rimmed vacuoles	OMIM:617158
26	0.7667	Charcot-Marie-Tooth disease, axonal, type 2CC	OMIM:616924
27	0.7665	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
27	0.7665	X-linked Emery-Dreifuss muscular dystrophy	ORPHA:98863
27	0.7665	X-linked Emery-Dreifuss muscular dystrophy	ORPHA:98863
27	0.7665	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
27	0.7665	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
27	0.7665	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
33	0.7656	Neutral lipid storage myopathy	ORPHA:98908
34	0.7644	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia	ORPHA:52430
34	0.7644	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia	ORPHA:52430
34	0.7644	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia	ORPHA:52430
37	0.7643	Myopathy, myofibrillar, 9, with early respiratory failure	OMIM:603689
38	0.76	Centronuclear myopathy 1	OMIM:160150
38	0.76	Centronuclear myopathy, autosomal, modifier of	OMIM:160150
40	0.7594	Childhood-onset nemaline myopathy	ORPHA:171439
40	0.7594	Childhood-onset nemaline myopathy	ORPHA:171439
40	0.7594	Childhood-onset nemaline myopathy	ORPHA:171439
40	0.7594	Childhood-onset nemaline myopathy	ORPHA:171439
40	0.7594	Childhood-onset nemaline myopathy	ORPHA:171439
40	0.7594	Childhood-onset nemaline myopathy	ORPHA:171439
40	0.7594	Childhood-onset nemaline myopathy	ORPHA:171439
47	0.7588	Myopathy, X-linked, with postural muscle atrophy	OMIM:300696
48	0.7578	GNE myopathy	ORPHA:602
49	0.757	Emery-Dreifuss muscular dystrophy 5, autosomal dominant	OMIM:612999
50	0.7552	Tibial muscular dystrophy	ORPHA:609
51	0.7546	Lower motor neuron syndrome with late-adult onset	ORPHA:276435
52	0.7544	Muscle filaminopathy	ORPHA:171445
53	0.7535	Choreoacanthocytosis	ORPHA:2388
54	0.753	Autosomal recessive hypophosphatemic rickets	ORPHA:289176
54	0.753	Autosomal recessive hypophosphatemic rickets	ORPHA:289176
56	0.7528	Congenital myopathy 2A, typical, autosomal dominant	OMIM:161800
57	0.7527	Bethlem myopathy	ORPHA:610
57	0.7527	Bethlem myopathy	ORPHA:610
