rank	score	disease_name	disease_identifier
1	0.9039	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart	OMIM:616975
2	0.8091	Mowat-Wilson syndrome due to a ZEB2 point mutation	ORPHA:261552
3	0.8021	Simpson-Golabi-Behmel syndrome, type 1	OMIM:312870
4	0.7753	Yunis-Varon syndrome	OMIM:216340
5	0.7731	Peters plus syndrome	ORPHA:709
6	0.7704	Coffin-Siris syndrome 12	OMIM:619325
7	0.7693	Cardiofaciocutaneous syndrome	OMIM:115150
8	0.7687	Peters-plus syndrome	OMIM:261540
9	0.7682	Smith-Lemli-Opitz syndrome	OMIM:270400
10	0.7632	Jacobsen syndrome	ORPHA:2308
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
11	0.7605	1p36 deletion syndrome	ORPHA:1606
24	0.7592	Bohring-Opitz syndrome	OMIM:605039
25	0.7545	RERE-related neurodevelopmental syndrome	ORPHA:494344
26	0.7534	Arboleda-Tham syndrome	OMIM:616268
27	0.7494	DOORS syndrome	ORPHA:79500
27	0.7494	DOORS syndrome	ORPHA:79500
29	0.7477	Neuroocular syndrome	OMIM:619539
30	0.747	Mowat-Wilson syndrome due to monosomy 2q22	ORPHA:261537
31	0.7425	Smith-Lemli-Opitz syndrome	ORPHA:818
32	0.7398	TARP syndrome	ORPHA:2886
33	0.7362	Neurofacioskeletal syndrome with or without renal agenesis	OMIM:619194
34	0.7341	Yunis-Varon syndrome	ORPHA:3472
34	0.7341	Yunis-Varon syndrome	ORPHA:3472
36	0.7329	Schinzel-Giedion syndrome	ORPHA:798
37	0.7308	Fontaine progeroid syndrome	OMIM:612289
38	0.7306	Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to a point mutation	ORPHA:453504
38	0.7306	Focal dermal hypoplasia	OMIM:305600
40	0.7301	X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability	ORPHA:480880
41	0.7292	Cornelia de Lange syndrome	ORPHA:199
41	0.7292	Cornelia de Lange syndrome	ORPHA:199
41	0.7292	Cornelia de Lange syndrome	ORPHA:199
41	0.7292	Cornelia de Lange syndrome	ORPHA:199
41	0.7292	Cornelia de Lange syndrome	ORPHA:199
41	0.7292	Cornelia de Lange syndrome	ORPHA:199
47	0.728	Witteveen-Kolk syndrome	OMIM:613406
48	0.7226	Hyperphosphatasia-intellectual disability syndrome	ORPHA:247262
48	0.7226	Hyperphosphatasia-intellectual disability syndrome	ORPHA:247262
48	0.7226	Hyperphosphatasia-intellectual disability syndrome	ORPHA:247262
48	0.7226	Hyperphosphatasia-intellectual disability syndrome	ORPHA:247262
48	0.7226	Hyperphosphatasia-intellectual disability syndrome	ORPHA:247262
48	0.7226	Hyperphosphatasia-intellectual disability syndrome	ORPHA:247262
48	0.7226	Hyperphosphatasia-intellectual disability syndrome	ORPHA:247262
55	0.7222	Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation	ORPHA:300570
56	0.7201	Opitz GBBB syndrome	ORPHA:2745
57	0.7193	Oculodentodigital dysplasia	ORPHA:2710
58	0.7191	Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14	ORPHA:96334
58	0.7191	Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14	ORPHA:96334
