rank	score	disease_name	disease_identifier
1	0.8641	Mullegama-Klein-Martinez syndrome	OMIM:301022
2	0.8601	Cornelia de Lange syndrome 1	OMIM:122470
3	0.8545	Cantú syndrome	ORPHA:1517
3	0.8545	Cantú syndrome	ORPHA:1517
5	0.8455	Cornelia de Lange syndrome	ORPHA:199
5	0.8455	Cornelia de Lange syndrome	ORPHA:199
5	0.8455	Cornelia de Lange syndrome	ORPHA:199
5	0.8455	Cornelia de Lange syndrome	ORPHA:199
5	0.8455	Cornelia de Lange syndrome	ORPHA:199
5	0.8455	Cornelia de Lange syndrome	ORPHA:199
11	0.835	Hypertrichotic osteochondrodysplasia (Cantu syndrome)	OMIM:239850
12	0.8291	Nicolaides-Baraitser syndrome	ORPHA:3051
13	0.7845	Autosomal dominant Robinow syndrome	ORPHA:3107
13	0.7845	Autosomal dominant Robinow syndrome	ORPHA:3107
13	0.7845	Autosomal dominant Robinow syndrome	ORPHA:3107
13	0.7845	Autosomal dominant Robinow syndrome	ORPHA:3107
17	0.7773	X-linked intellectual disability-global development delay-facial dysmorphism-sacral caudal remnant syndrome	ORPHA:480907
18	0.7673	Alazami-Yuan syndrome	OMIM:617126
19	0.7654	Cornelia de Lange syndrome 5	OMIM:300882
20	0.7587	Cornelia de Lange syndrome 2	OMIM:300590
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
21	0.7585	Coffin-Siris syndrome	ORPHA:1465
32	0.7582	Intellectual developmental disorder, autosomal recessive 5	OMIM:611091
33	0.7524	?Intellectual developmental disorder with hypertelorism and distinctive facies	OMIM:618147
34	0.7523	Intellectual developmental disorder, autosomal dominant 23	OMIM:615761
35	0.7481	Cornelia de Lange syndrome 3	OMIM:610759
36	0.7472	Intellectual developmental disorder, autosomal dominant 44, with microcephaly	OMIM:617061
37	0.7455	Developmental and epileptic encephalopathy 64	OMIM:618004
38	0.7442	Neurodevelopmental disorder with dysmorphic features, spasticity, and brain abnormalities	OMIM:615802
39	0.7438	Warburg micro syndrome 4	OMIM:615663
40	0.742	Intellectual developmental disorder, autosomal dominant 52	OMIM:617796
41	0.7416	Schuurs-Hoeijmakers syndrome	OMIM:615009
42	0.7412	Radio-Tartaglia syndrome	OMIM:619312
43	0.7409	Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities	OMIM:619121
44	0.7401	Mucopolysaccharidosis-plus syndrome	OMIM:617303
45	0.7387	Intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome	ORPHA:329224
46	0.7367	Ichthyosis, congenital, autosomal recessive 11	OMIM:602400
47	0.7366	Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency	ORPHA:404440
48	0.7363	Fanconi anemia, complementation group S	OMIM:617883
49	0.7356	Intellectual developmental disorder, X-linked 108	OMIM:301024
50	0.7354	Coffin-Siris syndrome 5	OMIM:616938
51	0.7353	Symmetric circumferential skin creases, congenital, 2	OMIM:616734
52	0.7352	Severe intellectual disability-short stature-behavioral abnormalities-facial dysmorphism syndrome	ORPHA:391307
53	0.7347	Developmental and epileptic encephalopathy 85, with or without midline brain defects	OMIM:301044
54	0.7319	Nabais Sa-de Vries syndrome, type 1	OMIM:618828
55	0.7314	KBG syndrome	OMIM:148050
56	0.7311	Cerebellar, ocular, craniofacial, and genital syndrome	OMIM:618479
57	0.731	Temple-Baraitser syndrome	ORPHA:420561
58	0.7298	Neurodevelopmental disorder with cerebral atrophy and variable facial dysmorphism	OMIM:619244
59	0.7295	Rubinstein-Taybi syndrome 1	OMIM:180849
60	0.7289	Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome	ORPHA:391408
60	0.7289	Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome	ORPHA:391408
62	0.7272	Developmental and epileptic encephalopathy 23	OMIM:615859
62	0.7272	Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 3	OMIM:619950
62	0.7272	Developmental delay-facial dysmorphism syndrome due to MED13L deficiency	ORPHA:369891
65	0.7266	Nicolaides-Baraitser syndrome	OMIM:601358
66	0.7258	Leukocyte adhesion deficiency type II	ORPHA:99843
67	0.7247	Coffin-Siris syndrome 2	OMIM:614607
68	0.7243	Blepharophimosis-impaired intellectual development syndrome	OMIM:619293
69	0.7239	DEGCAGS syndrome	OMIM:619488
69	0.7239	Martsolf syndrome 1	OMIM:212720
71	0.7225	Schwartz-Jampel syndrome	ORPHA:800
72	0.7213	Desbuquois dysplasia 2	OMIM:615777
73	0.7209	Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development 1	OMIM:213980
74	0.7189	Warburg micro syndrome 2	OMIM:614225
75	0.7182	Spondyloepimetaphyseal dysplasia, Camera-Genevieve type	OMIM:610442
76	0.7178	Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome	ORPHA:466688
77	0.7177	Neurodevelopmental disorder with facial dysmorphism, absent language, and pseudo-Pelger-Huet anomaly	OMIM:620075
78	0.7167	X-linked intellectual disability, Cabezas type	ORPHA:85293
79	0.7166	Intellectual developmental disorder with or without peripheral neuropathy	OMIM:619844
80	0.7164	Congenital muscular dystrophy with intellectual disability and severe epilepsy	ORPHA:329178
81	0.716	Wiedemann-Steiner syndrome	ORPHA:319182
82	0.7158	Al Kaissi syndrome	OMIM:617694
83	0.7157	Intellectual developmental disorder with cardiac defects and dysmorphic facies	OMIM:618316
84	0.715	Wiedemann-Steiner syndrome	OMIM:605130
85	0.7148	Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies	OMIM:618622
86	0.7144	Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia	OMIM:619286
87	0.7141	Hajdu-Cheney syndrome	ORPHA:955
88	0.7139	Intellectual developmental disorder, autosomal recessive 39	OMIM:615541
88	0.7139	COG5-CDG	ORPHA:263487
90	0.7134	Neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation	OMIM:618797
91	0.7129	15q24 microdeletion syndrome	ORPHA:94065
92	0.7127	Focal segmental glomerulosclerosis and neurodevelopmental syndrome	OMIM:619428
93	0.712	Focal facial dermal dysplasia 3, Setleis type	OMIM:227260
94	0.7107	Bryant-Li-Bhoj neurodevelopmental syndrome 1	OMIM:619720
95	0.7103	Intellectual developmental disorder and microcephaly with pontine and cerebellar hypoplasia	OMIM:300749
96	0.7097	Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome	ORPHA:411986
97	0.7089	8q24.3 microdeletion syndrome	ORPHA:508488
98	0.7083	Neurodevelopmental disorder with hypotonia and brain abnormalities	OMIM:619512
99	0.708	Warburg micro syndrome 3	OMIM:614222
100	0.7075	Macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome	ORPHA:487796
101	0.707	Cohen syndrome	ORPHA:193
102	0.7057	Saethre-Chotzen syndrome	ORPHA:794
102	0.7057	Saethre-Chotzen syndrome	ORPHA:794
102	0.7057	Saethre-Chotzen syndrome	ORPHA:794
105	0.7052	LIG4 syndrome	ORPHA:99812
105	0.7052	LIG4 syndrome	ORPHA:99812
107	0.7049	Congenital disorder of glycosylation, type IIg	OMIM:611209
108	0.7045	Chilton-Okur-Chung neurodevelopmental syndrome	OMIM:619841
109	0.7043	Arthrogryposis multiplex congenita 5	OMIM:618947
110	0.7029	Ectodermal dysplasia 13, hair/tooth type	OMIM:617392
111	0.7027	COG1-CDG	ORPHA:263508
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
112	0.7024	Diamond-Blackfan anemia	ORPHA:124
139	0.7017	Intellectual developmental disorder, autosomal dominant 64	OMIM:619188
140	0.7012	Chopra-Amiel-Gordon syndrome	OMIM:619504
141	0.701	Zimmermann-Laband syndrome 1	OMIM:135500
142	0.7001	X-linked intellectual disability, Nascimento type	ORPHA:163956
143	0.6998	Neurodevelopmental disorder with hypotonia, language delay, and skeletal defects with or without seizures	OMIM:620029
144	0.6995	Nijmegen breakage syndrome	ORPHA:647
144	0.6995	Baraitser-Winter syndrome 1	OMIM:243310
146	0.6993	Insulin-like growth factor I, resistance to	OMIM:270450
147	0.6989	SATB2-associated syndrome due to a pathogenic variant	ORPHA:576283
148	0.6985	Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome	ORPHA:457351
149	0.6983	Proud syndrome	OMIM:300004
150	0.6982	CHOPS syndrome	OMIM:616368
151	0.6981	Zimmermann-Laband syndrome 3	OMIM:618658
