rank	score	disease_name	disease_identifier
1	0.8002	Combined oxidative phosphorylation deficiency 7	OMIM:613559
2	0.7866	Plectin-related limb-girdle muscular dystrophy R17	ORPHA:254361
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
3	0.7744	Postsynaptic congenital myasthenic syndromes	ORPHA:98913
15	0.7724	Muscular dystrophy, limb-girdle, autosomal recessive 27	OMIM:619566
16	0.7642	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6	OMIM:615156
17	0.7632	Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency	ORPHA:329314
18	0.7589	Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy	ORPHA:329336
18	0.7589	Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy	ORPHA:329336
20	0.7572	Paramyotonia congenita of Von Eulenburg	ORPHA:684
21	0.7565	Muscular dystrophy, limb-girdle, autosomal recessive 8	OMIM:254110
22	0.754	Miyoshi myopathy	ORPHA:45448
23	0.7518	Myotonic dystrophy 2	OMIM:602668
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
24	0.7499	Congenital fiber-type disproportion myopathy	ORPHA:2020
32	0.7489	Charcot-Marie-Tooth disease type 4C	ORPHA:99949
33	0.7457	?Myopathy, scapulohumeroperoneal	OMIM:616852
34	0.7439	Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5	ORPHA:353
35	0.7411	Nemaline myopathy 5C, autosomal dominant	OMIM:620389
36	0.7407	Myopathy, myofibrillar, 9, with early respiratory failure	OMIM:603689
37	0.7405	Typical nemaline myopathy	ORPHA:171436
37	0.7405	Typical nemaline myopathy	ORPHA:171436
37	0.7405	Typical nemaline myopathy	ORPHA:171436
37	0.7405	Typical nemaline myopathy	ORPHA:171436
37	0.7405	Typical nemaline myopathy	ORPHA:171436
37	0.7405	Typical nemaline myopathy	ORPHA:171436
43	0.7399	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1	OMIM:167320
44	0.7357	Congenital myopathy 10B, mild variant	OMIM:620249
45	0.7351	Centronuclear myopathy 1	OMIM:160150
45	0.7351	Centronuclear myopathy, autosomal, modifier of	OMIM:160150
47	0.7337	Progressive external ophthalmoplegia, autosomal dominant 1	OMIM:157640
48	0.7328	Congenital myopathy 22A, classic	OMIM:620351
49	0.7317	Charcot-Marie-Tooth disease, axonal, type 2II	OMIM:620068
50	0.7305	Infantile multisystem neurologic-endocrine-pancreatic disease	ORPHA:456312
51	0.7282	Nemaline myopathy 6, autosomal dominant	OMIM:609273
52	0.7278	Spinal muscular atrophy-3	OMIM:253400
52	0.7278	Spinal muscular atrophy, type III, modifier of	OMIM:253400
54	0.7275	Osteopetrosis, autosomal recessive 1	OMIM:259700
55	0.7259	Myopathy, myofibrillar, 2	OMIM:608810
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
56	0.7257	Presynaptic congenital myasthenic syndromes	ORPHA:98914
66	0.7251	Muscular dystrophy, limb-girdle, autosomal recessive 23	OMIM:618138
67	0.7245	Congenital myopathy 7A, myosin storage, autosomal dominant	OMIM:608358
68	0.7243	Thyrotoxic periodic paralysis	ORPHA:79102
68	0.7243	Thyrotoxic periodic paralysis	ORPHA:79102
70	0.724	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
70	0.724	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
70	0.724	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
70	0.724	Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
74	0.7235	Emery-Dreifuss muscular dystrophy 2, autosomal dominant	OMIM:181350
75	0.7223	Myotonia congenita, dominant	OMIM:160800
76	0.7213	Myotonia congenita, recessive	OMIM:255700
77	0.7207	X-linked Emery-Dreifuss muscular dystrophy	ORPHA:98863
77	0.7207	X-linked Emery-Dreifuss muscular dystrophy	ORPHA:98863
77	0.7207	Familial or sporadic hemiplegic migraine	ORPHA:569
77	0.7207	Familial or sporadic hemiplegic migraine	ORPHA:569
77	0.7207	Familial or sporadic hemiplegic migraine	ORPHA:569
77	0.7207	Familial or sporadic hemiplegic migraine	ORPHA:569
83	0.7205	Neutral lipid storage myopathy	ORPHA:98908
84	0.72	Muscle glycogenosis	OMIM:300559
85	0.7196	Oculopharyngodistal myopathy	ORPHA:98897
85	0.7196	Oculopharyngodistal myopathy	ORPHA:98897
85	0.7196	Oculopharyngodistal myopathy	ORPHA:98897
88	0.7195	Muscular dystrophy, limb-girdle, autosomal dominant 1	OMIM:603511
89	0.7189	Autosomal recessive axonal neuropathy with neuromyotonia	ORPHA:324442
90	0.7186	Congenital myopathy 22B, severe fetal	OMIM:620369
91	0.7174	Charcot-Marie-Tooth disease, type 4B3	OMIM:615284
91	0.7174	?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5	OMIM:618098
93	0.717	Myopathy, myofibrillar, 8	OMIM:617258
94	0.7166	Myotonia permanens	ORPHA:99735
95	0.7162	Congenital myopathy 2A, typical, autosomal dominant	OMIM:161800
96	0.7154	Oculopharyngodistal myopathy 1	OMIM:164310
97	0.7138	Muscular dystrophy, limb-girdle, autosomal recessive 12	OMIM:611307
98	0.7133	Muscular dystrophy, congenital	OMIM:613205
99	0.7129	Polyglucosan body myopathy 2	OMIM:616199
100	0.7126	Autosomal dominant mitochondrial myopathy with exercise intolerance	ORPHA:457050
101	0.7106	Nemaline myopathy 2, autosomal recessive	OMIM:256030
102	0.7102	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5	OMIM:607155
103	0.7089	Myasthenic syndrome, congenital, 1B, fast-channel	OMIM:608930
104	0.7084	?Myosclerosis, congenital	OMIM:255600
105	0.7078	Muscular dystrophy-dystroglycanopathy (congenital with or without impaired intellectual development), type B, 5	OMIM:606612
106	0.7075	Wieacker-Wolff syndrome, female-restricted	OMIM:301041
107	0.7056	Dysferlin-related limb-girdle muscular dystrophy R2	ORPHA:268
108	0.7049	Hereditary myopathy with early respiratory failure	ORPHA:178464
108	0.7049	GNE myopathy	ORPHA:602
110	0.7038	Myopathy, centronuclear, X-linked	OMIM:310400
111	0.7036	Bethlem myopathy	ORPHA:610
111	0.7036	Bethlem myopathy	ORPHA:610
111	0.7036	Bethlem myopathy	ORPHA:610
111	0.7036	Bethlem myopathy	ORPHA:610
