rank	score	disease_name	disease_identifier
1	0.8347	Spinal muscular atrophy with progressive myoclonic epilepsy	OMIM:159950
2	0.8284	Autosomal dominant Charcot-Marie-Tooth disease type 2Z	ORPHA:466768
3	0.8146	Amyotrophic lateral sclerosis 27, juvenile	OMIM:620285
4	0.8126	Charcot-Marie-Tooth disease, type 4C	OMIM:601596
5	0.8074	Choreoacanthocytosis	ORPHA:2388
6	0.8072	Amyotrophic lateral sclerosis 12 with or without frontotemporal dementia	OMIM:613435
7	0.8067	Pontocerebellar hypoplasia, type 1B	OMIM:614678
8	0.8052	Charcot-Marie-Tooth disease type 4C	ORPHA:99949
8	0.8052	Myasthenic syndrome, congenital, 10	OMIM:254300
10	0.8009	Charcot-Marie-Tooth disease type 4B2	ORPHA:99956
11	0.7946	Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum	OMIM:617193
12	0.7935	Spinal muscular atrophy-progressive myoclonic epilepsy syndrome	ORPHA:2590
13	0.7921	Myopathy, myofibrillar, 7	OMIM:617114
14	0.7901	Brown-Vialetto-Van Laere syndrome 1	OMIM:211530
15	0.7849	Lower motor neuron syndrome with late-adult onset	ORPHA:276435
16	0.7844	Muscular dystrophy, limb-girdle, autosomal recessive 18	OMIM:615356
17	0.7803	Charcot-Marie-Tooth disease, axonal, type 2S	OMIM:616155
18	0.7795	Spinocerebellar ataxia 36	OMIM:614153
19	0.7787	TRAPPC11-related limb-girdle muscular dystrophy R18	ORPHA:369840
20	0.7779	Autosomal dominant progressive external ophthalmoplegia	ORPHA:254892
20	0.7779	Autosomal dominant progressive external ophthalmoplegia	ORPHA:254892
20	0.7779	Autosomal dominant progressive external ophthalmoplegia	ORPHA:254892
20	0.7779	Autosomal dominant progressive external ophthalmoplegia	ORPHA:254892
20	0.7779	Autosomal dominant progressive external ophthalmoplegia	ORPHA:254892
25	0.7776	Spinal muscular atrophy-3	OMIM:253400
25	0.7776	Spinal muscular atrophy, type III, modifier of	OMIM:253400
27	0.7769	Neutral lipid storage myopathy	ORPHA:98908
28	0.7746	Autosomal dominant adult-onset proximal spinal muscular atrophy	ORPHA:209335
29	0.7715	Congenital myopathy 10A, severe variant	OMIM:614399
30	0.7695	Spinal muscular atrophy-4	OMIM:271150
31	0.7681	Spinocerebellar ataxia type 36	ORPHA:276198
32	0.7671	Familial or sporadic hemiplegic migraine	ORPHA:569
32	0.7671	Familial or sporadic hemiplegic migraine	ORPHA:569
32	0.7671	Familial or sporadic hemiplegic migraine	ORPHA:569
32	0.7671	Familial or sporadic hemiplegic migraine	ORPHA:569
36	0.7635	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures	OMIM:618170
37	0.7626	Intellectual developmental disorder, autosomal dominant 42	OMIM:616973
38	0.7612	Pontocerebellar hypoplasia, type 1D	OMIM:618065
39	0.7605	?Mitochondrial DNA depletion syndrome 18	OMIM:618811
40	0.7567	Alacrimia-choreoathetosis-liver dysfunction syndrome	ORPHA:404454
41	0.756	Neutral lipid storage disease with myopathy	OMIM:610717
42	0.7558	Infantile-onset X-linked spinal muscular atrophy	ORPHA:1145
43	0.7554	Myopathy with extrapyramidal signs	OMIM:615673
44	0.7553	Dejerine-Sottas disease	OMIM:145900
44	0.7553	Dejerine-Sottas disease	OMIM:145900
44	0.7553	Dejerine-Sottas disease	OMIM:145900
44	0.7553	Dejerine-Sottas disease	OMIM:145900
48	0.7531	PRUNE1-related neurological syndrome	ORPHA:544469
49	0.7518	Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant	OMIM:615290
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
50	0.7507	Early infantile epileptic encephalopathy	ORPHA:1934
