rank	score	disease_name	disease_identifier
1	0.879	Mutilating hereditary sensory neuropathy with spastic paraplegia	ORPHA:139578
2	0.8689	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	OMIM:256810
3	0.8671	Neuropathy, hereditary sensory and autonomic, type V	OMIM:608654
4	0.8563	Hereditary sensory and autonomic neuropathy type 1	ORPHA:36386
4	0.8563	Hereditary sensory and autonomic neuropathy type 1	ORPHA:36386
4	0.8563	Hereditary sensory and autonomic neuropathy type 1	ORPHA:36386
4	0.8563	Hereditary sensory and autonomic neuropathy type 1	ORPHA:36386
8	0.8555	Autosomal recessive spastic paraplegia type 28	ORPHA:101008
9	0.8492	Neuropathy, hereditary sensory and autonomic, type IA	OMIM:162400
10	0.844	Neuropathy, hereditary sensory and autonomic, type IC	OMIM:613640
10	0.844	Hereditary sensory and autonomic neuropathy type 4	ORPHA:642
12	0.8419	Isolated succinate-CoQ reductase deficiency	ORPHA:3208
12	0.8419	Isolated succinate-CoQ reductase deficiency	ORPHA:3208
12	0.8419	Isolated succinate-CoQ reductase deficiency	ORPHA:3208
12	0.8419	Isolated succinate-CoQ reductase deficiency	ORPHA:3208
16	0.8342	Mitochondrial membrane protein-associated neurodegeneration	ORPHA:289560
17	0.8284	Insensitivity to pain, congenital, with anhidrosis	OMIM:256800
18	0.8248	X-linked intellectual disability due to GRIA3 mutations	ORPHA:364028
19	0.822	Intellectual developmental disorder, X-linked syndromic, Claes-Jensen type	OMIM:300534
20	0.8167	Neuropathy, hereditary sensory and autonomic, type IIB	OMIM:613115
21	0.8077	Spinocerebellar ataxia type 31	ORPHA:217012
22	0.8068	Ataxia-pancytopenia syndrome	OMIM:159550
23	0.8045	X-linked parkinsonism-spasticity syndrome	ORPHA:363654
24	0.8004	Insensitivity to pain, congenital	OMIM:243000
25	0.7997	Neuropathy, hereditary sensory and autonomic, type VIII	OMIM:616488
26	0.7991	Charcot-Marie-Tooth disease type 1A	ORPHA:101081
27	0.7973	Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration	OMIM:616878
28	0.7952	Paroxysmal exertion-induced dyskinesia	ORPHA:98811
28	0.7952	Paroxysmal exertion-induced dyskinesia	ORPHA:98811
30	0.7945	Spinocerebellar ataxia with axonal neuropathy type 1	ORPHA:94124
31	0.7912	Neuropathy, hereditary sensory, with spastic paraplegia	OMIM:256840
32	0.7905	Huntington disease-like 1	ORPHA:157941
33	0.787	Intellectual developmental disorder, autosomal dominant 44, with microcephaly	OMIM:617061
33	0.787	Mohr-Tranebjaerg syndrome	ORPHA:52368
35	0.7869	Spinocerebellar ataxia, autosomal recessive 21	OMIM:616719
36	0.7863	Spinocerebellar ataxia type 13	ORPHA:98768
