rank	score	disease_name	disease_identifier
1	0.8586	Pseudoachondroplasia	ORPHA:750
2	0.8446	Spondylometaphyseal dysplasia, Kozlowski type	OMIM:184252
3	0.8441	Pseudoachondroplasia	OMIM:177170
4	0.8439	Metaphyseal chondrodysplasia, Schmid type	OMIM:156500
5	0.8372	Spondyloepimetaphyseal dysplasia, Di Rocco type	OMIM:617974
6	0.8245	Metatropic dysplasia	OMIM:156530
7	0.8224	Progressive pseudorheumatoid arthropathy of childhood	ORPHA:1159
8	0.8087	Spondylometaphyseal dysplasia, Schmidt type	ORPHA:93316
9	0.8078	Mucopolysaccharidosis, type X	OMIM:619698
10	0.8025	Odontochondrodysplasia 1	OMIM:184260
11	0.8003	Spondyloepimetaphyseal dysplasia, sponastrime type	OMIM:271510
12	0.7974	Epiphyseal dysplasia, multiple, 7	OMIM:617719
13	0.7951	Dyggve-Melchior-Clausen disease	ORPHA:239
14	0.7949	Otospondylomegaepiphyseal dysplasia	ORPHA:1427
15	0.7864	Spondyloepimetaphyseal dysplasia with joint laxity, type 2	OMIM:603546
16	0.7853	Spondyloepimetaphyseal dysplasia, X-linked	OMIM:300106
17	0.7852	Mucopolysaccharidosis type IVB (Morquio)	OMIM:253010
18	0.7835	Spondyloepimetaphyseal dysplasia, Borochowitz-Cormier-Daire type	OMIM:608728
19	0.7825	Epiphyseal dysplasia, multiple, 5	OMIM:607078
20	0.7805	Immunoskeletal dysplasia with neurodevelopmental abnormalities	OMIM:617425
21	0.7779	Spondyloepimetaphyseal dysplasia, Camera-Genevieve type	OMIM:610442
22	0.7746	Smith-McCort dysplasia	OMIM:607326
23	0.7652	Eiken syndrome	OMIM:600002
24	0.7621	Mucopolysaccharidosis IVA	OMIM:253000
25	0.762	Epiphyseal dysplasia, multiple, 1	OMIM:132400
26	0.7613	Metaphyseal chondrodysplasia, Schmid type	ORPHA:174
27	0.7605	Schneckenbecken dysplasia	OMIM:269250
28	0.7592	Acrocapitofemoral dysplasia	OMIM:607778
29	0.7577	Dyggve-Melchior-Clausen disease	OMIM:223800
30	0.7571	Platyspondylic dysplasia, Torrance type	ORPHA:85166
31	0.7529	Spondylometaphyseal dysplasia, Kozlowski type	ORPHA:93314
32	0.7527	Spondyloepimetaphyseal dysplasia with joint laxity, type 3	OMIM:618395
33	0.7519	Schimke immunoosseous dysplasia	OMIM:242900
34	0.7517	Desbuquois dysplasia 1	OMIM:251450
35	0.7502	CODAS syndrome	OMIM:600373
36	0.7484	Spondyloepiphyseal dysplasia congenita	ORPHA:94068
36	0.7484	Platyspondylic skeletal dysplasia, Torrance type	OMIM:151210
38	0.7471	GM1 gangliosidosis type 1	ORPHA:79255
38	0.7471	Spondyloepiphyseal dysplasia with congenital joint dislocations	OMIM:143095
40	0.747	Multiple epiphyseal dysplasia type 1	ORPHA:93308
40	0.747	Weaver syndrome	OMIM:277590
42	0.7468	Epiphyseal dysplasia, multiple, 2	OMIM:600204
42	0.7468	Smith-McCort dysplasia 2	OMIM:615222
44	0.7452	SPONASTRIME dysplasia	ORPHA:93357
45	0.7447	Mucopolysaccharidosis type VI (Maroteaux-Lamy)	OMIM:253200
46	0.7445	Desbuquois dysplasia 2	OMIM:615777
47	0.7438	Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome	ORPHA:457395
48	0.7422	Mucolipidosis II alpha/beta	OMIM:252500
49	0.7419	?Spondyloepiphyseal dysplasia, Kondo-Fu type	OMIM:618392
50	0.7389	Spondyloperipheral dysplasia-short ulna syndrome	ORPHA:1856
51	0.7375	Spondyloepiphyseal dysplasia tarda	OMIM:313400
52	0.7371	Spondylometaphyseal dysplasia, 'corner fracture' type	ORPHA:93315
52	0.7371	Spondylometaphyseal dysplasia, 'corner fracture' type	ORPHA:93315
