rank	score	gene_symbol	gene_identifier
1	0.0525	ABCA5	ENSG00000154265
1	0.0525	ALX4	ENSG00000052850
1	0.0525	CISD2	ENSG00000145354
1	0.0525	COL2A1	ENSG00000139219
1	0.0525	CRKL	ENSG00000099942
1	0.0525	DDR2	ENSG00000162733
1	0.0525	DIAPH3	ENSG00000139734
1	0.0525	DST	ENSG00000151914
1	0.0525	FGF9	ENSG00000102678
1	0.0525	FGFR2	ENSG00000066468
1	0.0525	FOXE3	ENSG00000186790
1	0.0525	FOXF2	ENSG00000137273
1	0.0525	FOXH1	ENSG00000160973
1	0.0525	GCN1	ENSG00000089154
1	0.0525	GJB3	ENSG00000188910
1	0.0525	GUSB	ENSG00000169919
1	0.0525	ITGB1BP1	ENSG00000119185
1	0.0525	KRAS	ENSG00000133703
1	0.0525	LHFPL2	ENSG00000145685
1	0.0525	LMNA	ENSG00000160789
1	0.0525	MAF	ENSG00000178573
1	0.0525	MAP3K1	ENSG00000095015
1	0.0525	MCPH1	ENSG00000147316
1	0.0525	MMP14	ENSG00000157227
1	0.0525	MTHFR	ENSG00000177000
1	0.0525	PDCD1	ENSG00000188389
1	0.0525	PTCH1	ENSG00000185920
1	0.0525	PTPN11	ENSG00000179295
1	0.0525	PUS1	ENSG00000177192
1	0.0525	SH3PXD2B	ENSG00000174705
1	0.0525	SHH	ENSG00000164690
1	0.0525	SLC4A11	ENSG00000088836
1	0.0525	SNRNP200	ENSG00000144028
1	0.0525	SOS1	ENSG00000115904
1	0.0525	SPP1	ENSG00000118785
1	0.0525	SVEP1	ENSG00000165124
1	0.0525	TCOF1	ENSG00000070814
1	0.0525	TOM1L2	ENSG00000175662
1	0.0525	TPO	ENSG00000115705
1	0.0525	ZC3H11A	ENSG00000058673
1	0.0525	ZC3H11B	ENSG00000215817
1	0.0525	ZNF469	ENSG00000225614
1	0.0525	ZNF503	ENSG00000165655
44	0.0523	NIPBL	ENSG00000164190
45	0.0522	NRTN	ENSG00000171119
46	0.0506	ARSB	ENSG00000113273
47	0.0498	NHS	ENSG00000188158
48	0.0497	PITX3	ENSG00000107859
49	0.0488	ACTG1	ENSG00000184009
50	0.0487	LPAR1	ENSG00000198121
51	0.0485	AQP4	ENSG00000171885
52	0.048	PITX2	ENSG00000164093
53	0.0477	KL	ENSG00000133116
54	0.0474	RAF1	ENSG00000132155
54	0.0474	BMP4	ENSG00000125378
