rank	score	gene_symbol	gene_identifier
1	0.0129	MPZL3	ENSG00000160588
2	0.0127	FAS	ENSG00000026103
3	0.0115	IL6ST	ENSG00000134352
4	0.0103	ZAP70	ENSG00000115085
5	0.0077	EGFR	ENSG00000146648
6	0.0069	IL2	ENSG00000109471
7	0.0068	OTULIN	ENSG00000154124
7	0.0068	IKBKG	ENSG00000073009
7	0.0068	NFKBIA	ENSG00000100906
10	0.0067	SYK	ENSG00000165025
11	0.0066	IL2RA	ENSG00000134460
12	0.0065	ABCB1	ENSG00000085563
13	0.0064	ITPKB	ENSG00000143772
14	0.0063	BLM	ENSG00000197299
14	0.0063	FOXP3	ENSG00000049768
16	0.006	IPO8	ENSG00000133704
17	0.0057	ADA	ENSG00000196839
17	0.0057	RUNX3	ENSG00000020633
17	0.0057	SPINK5	ENSG00000133710
20	0.0055	PCCA	ENSG00000175198
20	0.0055	PCCB	ENSG00000114054
22	0.0053	RELB	ENSG00000104856
23	0.0051	IL7R	ENSG00000168685
24	0.005	HPGD	ENSG00000164120
24	0.005	SLCO2A1	ENSG00000174640
24	0.005	CAMK2B	ENSG00000058404
27	0.0049	GIMAP5	ENSG00000196329
28	0.0048	FASLG	ENSG00000117560
28	0.0048	HLA-DRB1	ENSG00000196126
28	0.0048	IL6	ENSG00000136244
28	0.0048	LACC1	ENSG00000179630
28	0.0048	MIF	ENSG00000240972
28	0.0048	AHR	ENSG00000106546
34	0.0047	NFKB1	ENSG00000109320
34	0.0047	ASAH1	ENSG00000104763
34	0.0047	WAS	ENSG00000015285
34	0.0047	NOD2	ENSG00000167207
34	0.0047	GNB2	ENSG00000172354
39	0.0046	IDS	ENSG00000010404
39	0.0046	STAT3	ENSG00000168610
41	0.0045	NAGS	ENSG00000161653
41	0.0045	PLD4	ENSG00000166428
43	0.0044	SOX18	ENSG00000203883
43	0.0044	NSMCE3	ENSG00000185115
45	0.0043	PRKDC	ENSG00000253729
45	0.0043	DSG3	ENSG00000134757
45	0.0043	SLC25A13	ENSG00000004864
45	0.0043	CARD11	ENSG00000198286
49	0.0042	TNIP1	ENSG00000145901
49	0.0042	COL1A1	ENSG00000108821
49	0.0042	COL5A1	ENSG00000130635
49	0.0042	COL5A2	ENSG00000204262
49	0.0042	DSG4	ENSG00000175065
49	0.0042	NFKBIZ	ENSG00000144802
49	0.0042	CD247	ENSG00000198821
49	0.0042	LAT	ENSG00000213658
49	0.0042	ACP5	ENSG00000102575
58	0.0041	MUC2	ENSG00000198788
58	0.0041	PTPN22	ENSG00000134242
58	0.0041	TMEM79	ENSG00000163472
61	0.004	BTNL2	ENSG00000204290
61	0.004	NLRP6	ENSG00000174885
61	0.004	ZNF341	ENSG00000131061
64	0.0039	KRT8	ENSG00000170421
64	0.0039	EDARADD	ENSG00000186197
64	0.0039	SCG5	ENSG00000166922
67	0.0038	SHARPIN	ENSG00000179526
67	0.0038	IL1RN	ENSG00000136689
67	0.0038	PTPN2	ENSG00000175354
67	0.0038	DCLRE1C	ENSG00000152457
67	0.0038	DSG1	ENSG00000134760
72	0.0037	IL18BP	ENSG00000137496
72	0.0037	PTPN6	ENSG00000111679
72	0.0037	TLR4	ENSG00000136869
72	0.0037	TGFB1	ENSG00000105329
72	0.0037	IL6R	ENSG00000160712
77	0.0036	IFIH1	ENSG00000115267
77	0.0036	FCER2	ENSG00000104921
77	0.0036	PKP3	ENSG00000184363
80	0.0035	OCRL	ENSG00000122126
80	0.0035	MUC13	ENSG00000173702
80	0.0035	F8	ENSG00000185010
80	0.0035	IL10	ENSG00000136634
80	0.0035	AEBP2	ENSG00000139154
85	0.0034	MYD88	ENSG00000172936
85	0.0034	LIF	ENSG00000128342
85	0.0034	BMP6	ENSG00000153162
85	0.0034	HFE	ENSG00000010704
85	0.0034	PLAT	ENSG00000104368
85	0.0034	ADAM17	ENSG00000151694
85	0.0034	MLXIPL	ENSG00000009950
85	0.0034	SLC39A4	ENSG00000147804
85	0.0034	CTSL	ENSG00000135047
85	0.0034	CTSV	ENSG00000136943
85	0.0034	NKX2-3	ENSG00000119919
96	0.0033	DOCK8	ENSG00000107099
96	0.0033	COL17A1	ENSG00000065618
96	0.0033	B3GNT6	ENSG00000198488
96	0.0033	PPIA	ENSG00000196262
96	0.0033	ATOX1	ENSG00000177556
96	0.0033	RHBDF2	ENSG00000129667
96	0.0033	CTNS	ENSG00000040531
96	0.0033	MGME1	ENSG00000125871
96	0.0033	TBK1	ENSG00000183735
105	0.0032	IL2RG	ENSG00000147168
105	0.0032	FCGR2A	ENSG00000143226
105	0.0032	FCGR2B	ENSG00000072694
105	0.0032	FCGR2C	ENSG00000244682
105	0.0032	LPIN2	ENSG00000101577
110	0.0031	LIG3	ENSG00000005156
110	0.0031	POLG	ENSG00000140521
110	0.0031	RRM2B	ENSG00000048392
110	0.0031	TYMP	ENSG00000025708
110	0.0031	IKZF3	ENSG00000161405
110	0.0031	CD40LG	ENSG00000102245
110	0.0031	CASP10	ENSG00000003400
110	0.0031	PRKCD	ENSG00000163932
110	0.0031	RASGRP1	ENSG00000172575
110	0.0031	LCK	ENSG00000182866
110	0.0031	GBA1	ENSG00000177628
110	0.0031	BRCA1	ENSG00000012048
110	0.0031	BRCA2	ENSG00000139618
110	0.0031	CDKN2A	ENSG00000147889
110	0.0031	KRAS	ENSG00000133703
110	0.0031	PALB2	ENSG00000083093
110	0.0031	PALLD	ENSG00000129116
110	0.0031	RABL3	ENSG00000144840
110	0.0031	SMAD4	ENSG00000141646
110	0.0031	TP53	ENSG00000141510
110	0.0031	RORA	ENSG00000069667
110	0.0031	BLNK	ENSG00000095585
110	0.0031	CD79A	ENSG00000105369
110	0.0031	CD79B	ENSG00000007312
110	0.0031	IGHM	ENSG00000211899
110	0.0031	IGLL1	ENSG00000128322
110	0.0031	LRRC8A	ENSG00000136802
110	0.0031	PIK3R1	ENSG00000145675
110	0.0031	SLC39A7	ENSG00000112473
110	0.0031	SPI1	ENSG00000066336
110	0.0031	TCF3	ENSG00000071564
141	0.003	TRAF3IP2	ENSG00000056972
141	0.003	MVK	ENSG00000110921
141	0.003	PGM3	ENSG00000013375
141	0.003	SLC25A26	ENSG00000144741
141	0.003	TANK	ENSG00000136560
141	0.003	CD3D	ENSG00000167286
141	0.003	CD3E	ENSG00000198851
141	0.003	CDSN	ENSG00000204539
141	0.003	KRT74	ENSG00000170484
150	0.0029	BLOC1S4	ENSG00000186222
150	0.0029	AIP	ENSG00000110711
150	0.0029	GPR101	ENSG00000165370
150	0.0029	BTD	ENSG00000169814
150	0.0029	PSTPIP2	ENSG00000152229
150	0.0029	CCR7	ENSG00000126353
150	0.0029	HLA-B	ENSG00000234745
150	0.0029	IKZF1	ENSG00000185811
150	0.0029	ATP7B	ENSG00000123191
150	0.0029	BLOC1S6	ENSG00000104164
150	0.0029	PCSK1	ENSG00000175426
150	0.0029	CASP8	ENSG00000064012
150	0.0029	LIPA	ENSG00000107798
163	0.0028	FLG	ENSG00000143631
163	0.0028	EDA	ENSG00000158813
163	0.0028	JAK3	ENSG00000105639
163	0.0028	IL21	ENSG00000138684
163	0.0028	TOM1	ENSG00000100284
163	0.0028	CCR2	ENSG00000121807
163	0.0028	E2F2	ENSG00000007968
163	0.0028	C8orf44-SGK3	ENSG00000270024
163	0.0028	SGK3	ENSG00000104205
163	0.0028	SLC2A2	ENSG00000163581
163	0.0028	ENPP3	ENSG00000154269
163	0.0028	HGD	ENSG00000113924
163	0.0028	IL21R	ENSG00000103522
163	0.0028	MMP7	ENSG00000137673
163	0.0028	BACH2	ENSG00000112182
163	0.0028	CTLA4	ENSG00000163599
163	0.0028	ACTA1	ENSG00000143632
163	0.0028	HACD1	ENSG00000165996
163	0.0028	ITGA7	ENSG00000135424
163	0.0028	MLTK	ENSG00000091436
163	0.0028	MYL2	ENSG00000111245
163	0.0028	SELENON	ENSG00000162430
163	0.0028	TPM2	ENSG00000198467
163	0.0028	TPM3	ENSG00000143549
163	0.0028	AGR2	ENSG00000106541
188	0.0027	TRANK1	ENSG00000168016
188	0.0027	GPR132	ENSG00000183484
188	0.0027	SH3BP2	ENSG00000087266
188	0.0027	TSC1	ENSG00000165699
188	0.0027	TSC2	ENSG00000103197
188	0.0027	GFUS	ENSG00000104522
188	0.0027	CHD2	ENSG00000173575
188	0.0027	LYN	ENSG00000254087
188	0.0027	MMP9	ENSG00000100985
197	0.0026	KPRP	ENSG00000203786
197	0.0026	RNF168	ENSG00000163961
197	0.0026	IGHG1	ENSG00000211896
197	0.0026	IGHG2	ENSG00000211893
197	0.0026	IGHG3	ENSG00000211897
197	0.0026	IGHG4	ENSG00000211892
197	0.0026	JAK1	ENSG00000162434
197	0.0026	CACNB4	ENSG00000182389
197	0.0026	CTSE	ENSG00000196188
197	0.0026	KRT1	ENSG00000167768
197	0.0026	KRT10	ENSG00000186395
197	0.0026	IFNGR1	ENSG00000027697
197	0.0026	EFS	ENSG00000100842
197	0.0026	MARK2	ENSG00000072518
211	0.0025	CXCR2	ENSG00000180871
211	0.0025	FREM2	ENSG00000150893
211	0.0025	AMN	ENSG00000166126
211	0.0025	CUBN	ENSG00000107611
211	0.0025	SCNN1A	ENSG00000111319
211	0.0025	SCNN1B	ENSG00000168447
211	0.0025	SCNN1G	ENSG00000166828
211	0.0025	TNFAIP8L2	ENSG00000163154
211	0.0025	STAT1	ENSG00000115415
211	0.0025	CUX1	ENSG00000257923
211	0.0025	HLA-DPA1	ENSG00000231389
211	0.0025	HLA-DPB1	ENSG00000223865
211	0.0025	PRTN3	ENSG00000196415
211	0.0025	BTK	ENSG00000010671
211	0.0025	BCL6	ENSG00000113916
211	0.0025	DPP9	ENSG00000142002
211	0.0025	GPC3	ENSG00000147257
211	0.0025	GPC4	ENSG00000076716
211	0.0025	CARMIL2	ENSG00000159753
211	0.0025	IL2RB	ENSG00000100385
211	0.0025	MAN2A1	ENSG00000112893
232	0.0024	NFKB2	ENSG00000077150
232	0.0024	P4HA2	ENSG00000072682
232	0.0024	FOCAD	ENSG00000188352
232	0.0024	WIPF1	ENSG00000115935
232	0.0024	PRG4	ENSG00000116690
232	0.0024	NIPAL3	ENSG00000001461
232	0.0024	NFIL3	ENSG00000165030
232	0.0024	BRAF	ENSG00000157764
232	0.0024	ERCC2	ENSG00000104884
232	0.0024	GPA33	ENSG00000143167
232	0.0024	SMARCA2	ENSG00000080503
