rank	score	gene_symbol	gene_identifier
1	0.0257	ALX1	ENSG00000180318
2	0.0227	PDS5B	ENSG00000083642
3	0.0164	SFN	ENSG00000175793
4	0.0146	STAG2	ENSG00000101972
5	0.0137	NIPBL	ENSG00000164190
6	0.0134	HRAS	ENSG00000174775
7	0.0133	BRD4	ENSG00000141867
7	0.0133	HDAC8	ENSG00000147099
7	0.0133	RAD21	ENSG00000164754
7	0.0133	SMC1A	ENSG00000072501
7	0.0133	SMC3	ENSG00000108055
12	0.0131	FREM1	ENSG00000164946
13	0.011	PTPN11	ENSG00000179295
14	0.0104	ABCC9	ENSG00000069431
14	0.0104	KCNJ8	ENSG00000121361
16	0.0103	TWIST2	ENSG00000233608
17	0.0102	CDON	ENSG00000064309
18	0.0099	FOXC2	ENSG00000176692
19	0.0095	PRICKLE1	ENSG00000139174
20	0.0086	TGIF1	ENSG00000177426
21	0.0085	SMARCA2	ENSG00000080503
22	0.0084	EDARADD	ENSG00000186197
23	0.0075	BMP5	ENSG00000112175
24	0.0069	FGFR1	ENSG00000077782
25	0.0067	DVL1	ENSG00000107404
25	0.0067	DVL3	ENSG00000161202
25	0.0067	FZD2	ENSG00000180340
25	0.0067	WNT5A	ENSG00000114251
29	0.0066	TCOF1	ENSG00000070814
30	0.0062	DISP1	ENSG00000154309
31	0.0061	PRRX1	ENSG00000116132
32	0.006	TAF6	ENSG00000106290
32	0.006	EDNRA	ENSG00000151617
34	0.0057	HOXC13	ENSG00000123364
34	0.0057	FOXH1	ENSG00000160973
36	0.0055	HR	ENSG00000168453
37	0.0051	ZIC3	ENSG00000156925
37	0.0051	HIC1	ENSG00000177374
39	0.005	TBX1	ENSG00000184058
40	0.0048	TWSG1	ENSG00000128791
40	0.0048	TRIO	ENSG00000038382
42	0.0046	CASK	ENSG00000147044
42	0.0046	IDUA	ENSG00000127415
44	0.0045	TBC1D20	ENSG00000125875
45	0.0044	ARID1A	ENSG00000117713
45	0.0044	ARID1B	ENSG00000049618
45	0.0044	ARID2	ENSG00000189079
45	0.0044	DPF2	ENSG00000133884
45	0.0044	SMARCA4	ENSG00000127616
45	0.0044	SMARCB1	ENSG00000099956
45	0.0044	SMARCC2	ENSG00000139613
45	0.0044	SMARCD1	ENSG00000066117
45	0.0044	SMARCE1	ENSG00000073584
45	0.0044	SOX11	ENSG00000176887
45	0.0044	SOX4	ENSG00000124766
45	0.0044	SPEN	ENSG00000065526
45	0.0044	NDST1	ENSG00000070614
58	0.0043	SLC35C1	ENSG00000181830
59	0.0042	EYA1	ENSG00000104313
59	0.0042	ARX	ENSG00000004848
61	0.004	SETD5	ENSG00000168137
61	0.004	PAX6	ENSG00000007372
61	0.004	ASH1L	ENSG00000116539
61	0.004	TTC5	ENSG00000136319
61	0.004	CREBBP	ENSG00000005339
66	0.0039	MAB21L1	ENSG00000180660
66	0.0039	PACS1	ENSG00000175115
66	0.0039	RYK	ENSG00000163785
66	0.0039	PPP1R15B	ENSG00000158615
66	0.0039	TRMT10A	ENSG00000145331
71	0.0038	TAF1	ENSG00000147133
71	0.0038	HSPG2	ENSG00000142798
71	0.0038	FRMD4A	ENSG00000151474
71	0.0038	TRIM8	ENSG00000171206
71	0.0038	SMPD4	ENSG00000136699
76	0.0037	NANS	ENSG00000095380
76	0.0037	H4C5	ENSG00000198518
76	0.0037	KCNH1	ENSG00000143473
79	0.0036	NOTCH2	ENSG00000134250
79	0.0036	MAPRE2	ENSG00000166974
79	0.0036	HMX1	ENSG00000215612
79	0.0036	RHOBTB2	ENSG00000008853
79	0.0036	CDK10	ENSG00000185324
79	0.0036	MEMO1	ENSG00000162959
79	0.0036	ANKRD11	ENSG00000167522
86	0.0035	TMCO1	ENSG00000143183
86	0.0035	ZNF699	ENSG00000196110
86	0.0035	RAB3GAP2	ENSG00000118873
86	0.0035	PGAP1	ENSG00000197121
86	0.0035	KRAS	ENSG00000133703
91	0.0034	STAG1	ENSG00000118007
91	0.0034	VPS33A	ENSG00000139719
91	0.0034	TMEM147	ENSG00000105677
91	0.0034	TASP1	ENSG00000089123
91	0.0034	RPS23	ENSG00000186468
96	0.0033	CHRD	ENSG00000090539
96	0.0033	RPL10	ENSG00000147403
96	0.0033	TBX15	ENSG00000092607
96	0.0033	MGAT2	ENSG00000168282
100	0.0032	SPOP	ENSG00000121067
100	0.0032	BRCA1	ENSG00000012048
100	0.0032	SATB2	ENSG00000119042
100	0.0032	UFC1	ENSG00000143222
104	0.0031	KMT2A	ENSG00000118058
104	0.0031	H3-3A	ENSG00000163041
104	0.0031	ST14	ENSG00000149418
104	0.0031	EHMT1	ENSG00000181090
104	0.0031	SLC25A24	ENSG00000085491
104	0.0031	ZNF292	ENSG00000188994
104	0.0031	DOCK7	ENSG00000116641
111	0.003	ZEB1	ENSG00000148516
111	0.003	RAB18	ENSG00000099246
111	0.003	CTCF	ENSG00000102974
111	0.003	TMEM107	ENSG00000179029
111	0.003	ASXL2	ENSG00000143970
111	0.003	CSNK2A1	ENSG00000101266
117	0.0029	LMNA	ENSG00000160789
117	0.0029	TMEM94	ENSG00000177728
117	0.0029	MAP3K7	ENSG00000135341
117	0.0029	MAP1B	ENSG00000131711
117	0.0029	ATR	ENSG00000175054
117	0.0029	WNT4	ENSG00000162552
117	0.0029	NBN	ENSG00000104320
117	0.0029	CDC42BPB	ENSG00000198752
125	0.0028	UBE3B	ENSG00000151148
125	0.0028	CCNK	ENSG00000090061
125	0.0028	DOCK6	ENSG00000130158
125	0.0028	CHUK	ENSG00000213341
125	0.0028	CLCN3	ENSG00000109572
125	0.0028	ADNP	ENSG00000101126
125	0.0028	KDM4B	ENSG00000127663
125	0.0028	ASXL1	ENSG00000171456
125	0.0028	TWIST1	ENSG00000122691
125	0.0028	AFF3	ENSG00000144218
125	0.0028	GNE	ENSG00000159921
125	0.0028	GNS	ENSG00000135677
137	0.0027	FGF9	ENSG00000102678
137	0.0027	GNPTAB	ENSG00000111670
137	0.0027	CRKL	ENSG00000099942
137	0.0027	MED27	ENSG00000160563
137	0.0027	MED13L	ENSG00000123066
137	0.0027	SHH	ENSG00000164690
137	0.0027	DHX30	ENSG00000132153
137	0.0027	KCNK4	ENSG00000182450
137	0.0027	PLAA	ENSG00000137055
137	0.0027	LRPPRC	ENSG00000138095
137	0.0027	LAMA5	ENSG00000130702
137	0.0027	VPS13B	ENSG00000132549
137	0.0027	ARB2A	ENSG00000113391
137	0.0027	EXT1	ENSG00000182197
137	0.0027	TRPS1	ENSG00000104447
137	0.0027	CSGALNACT1	ENSG00000147408
137	0.0027	HIVEP2	ENSG00000010818
137	0.0027	KMT2D	ENSG00000167548
137	0.0027	XYLT1	ENSG00000103489
137	0.0027	OTUD6B	ENSG00000155100
157	0.0026	RALGAPA1	ENSG00000174373
157	0.0026	SETBP1	ENSG00000152217
157	0.0026	MBD5	ENSG00000204406
157	0.0026	TOE1	ENSG00000132773
157	0.0026	WAC	ENSG00000095787
157	0.0026	BICRA	ENSG00000063169
157	0.0026	INSR	ENSG00000171105
157	0.0026	NSUN2	ENSG00000037474
157	0.0026	KAT6B	ENSG00000156650
157	0.0026	EP300	ENSG00000100393
157	0.0026	ZNF407	ENSG00000215421
157	0.0026	CDC42	ENSG00000070831
169	0.0025	TBX2	ENSG00000121068
169	0.0025	GLI2	ENSG00000074047
169	0.0025	AIFM1	ENSG00000156709
169	0.0025	TCF15	ENSG00000125878
169	0.0025	CKAP2L	ENSG00000169607
169	0.0025	ASXL3	ENSG00000141431
169	0.0025	PGM2L1	ENSG00000165434
169	0.0025	HTT	ENSG00000197386
169	0.0025	ATP6V0A2	ENSG00000185344
169	0.0025	KDM6A	ENSG00000147050
169	0.0025	ACTB	ENSG00000075624
169	0.0025	COL2A1	ENSG00000139219
169	0.0025	JARID2	ENSG00000008083
169	0.0025	FGFR2	ENSG00000066468
169	0.0025	FGFR3	ENSG00000068078
184	0.0024	ADA2	ENSG00000093072
184	0.0024	GATA1	ENSG00000102145
184	0.0024	HEATR3	ENSG00000155393
184	0.0024	RPL11	ENSG00000142676
184	0.0024	RPL15	ENSG00000174748
184	0.0024	RPL18	ENSG00000063177
184	0.0024	RPL26	ENSG00000161970
184	0.0024	RPL27	ENSG00000131469
184	0.0024	RPL31	ENSG00000071082
184	0.0024	RPL35	ENSG00000136942
184	0.0024	RPL35A	ENSG00000182899
184	0.0024	RPL5	ENSG00000122406
184	0.0024	RPL8	ENSG00000161016
184	0.0024	RPL9	ENSG00000163682
184	0.0024	RPS10	ENSG00000124614
184	0.0024	RPS15A	ENSG00000134419
184	0.0024	RPS17	ENSG00000184779
184	0.0024	RPS17L	ENSG00000182774
184	0.0024	RPS19	ENSG00000105372
184	0.0024	RPS20	ENSG00000008988
184	0.0024	RPS24	ENSG00000138326
184	0.0024	RPS26	ENSG00000197728
184	0.0024	RPS27	ENSG00000177954
184	0.0024	RPS28	ENSG00000233927
184	0.0024	RPS29	ENSG00000213741
184	0.0024	RPS7	ENSG00000171863
184	0.0024	TSR2	ENSG00000158526
184	0.0024	AFF4	ENSG00000072364
184	0.0024	IGF1R	ENSG00000140443
184	0.0024	LIG4	ENSG00000174405
184	0.0024	CBL	ENSG00000110395
184	0.0024	BCAS3	ENSG00000141376
184	0.0024	WDR11	ENSG00000120008
184	0.0024	GNB2	ENSG00000172354
184	0.0024	UBE2A	ENSG00000077721
184	0.0024	ANKRD17	ENSG00000132466
184	0.0024	NEXMIF	ENSG00000050030
184	0.0024	SIN3A	ENSG00000169375
184	0.0024	ZC4H2	ENSG00000126970
184	0.0024	DPM2	ENSG00000136908
184	0.0024	TTI2	ENSG00000129696
184	0.0024	FOXN3	ENSG00000053254
184	0.0024	SMS	ENSG00000102172
227	0.0023	GLI3	ENSG00000106571
227	0.0023	COG1	ENSG00000166685
227	0.0023	CUL4B	ENSG00000158290
227	0.0023	RAD23B	ENSG00000119318
227	0.0023	FRA10AC1	ENSG00000148690
227	0.0023	EMC1	ENSG00000127463
227	0.0023	BNC2	ENSG00000173068
227	0.0023	CCBE1	ENSG00000183287
227	0.0023	CDO1	ENSG00000129596
227	0.0023	RAI1	ENSG00000108557
227	0.0023	FGF10	ENSG00000070193
227	0.0023	COG7	ENSG00000168434
227	0.0023	KCNN3	ENSG00000143603
227	0.0023	SLC25A12	ENSG00000115840
227	0.0023	UGP2	ENSG00000169764
227	0.0023	ZBTB18	ENSG00000179456
227	0.0023	MEF2C	ENSG00000081189
227	0.0023	MEGF8	ENSG00000105429
227	0.0023	HESX1	ENSG00000163666
227	0.0023	PRR12	ENSG00000126464
247	0.0022	ATP9A	ENSG00000054793
247	0.0022	KDM5C	ENSG00000126012
247	0.0022	CHMP1A	ENSG00000131165
247	0.0022	RUSC2	ENSG00000198853
247	0.0022	TBC1D24	ENSG00000162065
247	0.0022	TFE3	ENSG00000068323
